"family_name","species","category"
"ALSTROEMERIACEAE","Alstroemeria amabilis","EN"
"ALSTROEMERIACEAE","Alstroemeria apertiflora","LC"
"ALSTROEMERIACEAE","Alstroemeria brasiliensis","EN"
"ALSTROEMERIACEAE","Alstroemeria capixaba","CR"
"ALSTROEMERIACEAE","Alstroemeria caryophyllaea","EN"
"ALSTROEMERIACEAE","Alstroemeria chapadensis","EN"
"ALSTROEMERIACEAE","Alstroemeria inodora","LC"
"ALSTROEMERIACEAE","Alstroemeria isabellana","LC"
"ALSTROEMERIACEAE","Alstroemeria malmeana","CR"
"ALSTROEMERIACEAE","Alstroemeria orchidioides","EN"
"ALSTROEMERIACEAE","Alstroemeria penduliflora","EN"
"ALSTROEMERIACEAE","Alstroemeria variegata","DD"
