"family_name","species","category"
"AMARANTHACEAE","Alternanthera decurrens","EN"
"AMARANTHACEAE","Alternanthera hirtula","VU"
"AMARANTHACEAE","Alternanthera januarensis","EN"
"AMARANTHACEAE","Alternanthera malmeana","DD"
"AMARANTHACEAE","Alternanthera micrantha","LC"
"AMARANTHACEAE","Alternanthera paronychioides","LC"
"AMARANTHACEAE","Alternanthera praelonga","LC"
"AMARANTHACEAE","Alternanthera puberula","LC"
"AMARANTHACEAE","Alternanthera reineckii","LC"
"AMARANTHACEAE","Alternanthera sessilis","LC"
"AMARANTHACEAE","Alternanthera tenella","LC"
"AMARANTHACEAE","Amaranthus rosengurtii","EN"
"AMARANTHACEAE","Blutaparon portulacoides","LC"
"AMARANTHACEAE","Celosia grandifolia","LC"
"AMARANTHACEAE","Chamissoa acuminata","LC"
"AMARANTHACEAE","Chamissoa acuminata","DD"
"AMARANTHACEAE","Chamissoa altissima","LC"
"AMARANTHACEAE","Froelichia interrupta","DD"
"AMARANTHACEAE","Froelichia procera","DD"
"AMARANTHACEAE","Froelichiella grisea","EN"
"AMARANTHACEAE","Gomphrena agrestis","LC"
"AMARANTHACEAE","Gomphrena centrota","EN"
"AMARANTHACEAE","Gomphrena chrestoides","NT"
"AMARANTHACEAE","Gomphrena duriuscula","DD"
"AMARANTHACEAE","Gomphrena elegans","LC"
"AMARANTHACEAE","Gomphrena graminea","LC"
"AMARANTHACEAE","Gomphrena hatschbachiana","EN"
"AMARANTHACEAE","Gomphrena hermogenesii","VU"
"AMARANTHACEAE","Gomphrena hillii","EN"
"AMARANTHACEAE","Gomphrena macrocephala","LC"
"AMARANTHACEAE","Gomphrena marginata","EN"
"AMARANTHACEAE","Gomphrena nigricans","CR"
"AMARANTHACEAE","Gomphrena paranensis","VU"
"AMARANTHACEAE","Gomphrena perennis","LC"
"AMARANTHACEAE","Gomphrena pulchella","EN"
"AMARANTHACEAE","Gomphrena regeliana","VU"
"AMARANTHACEAE","Gomphrena scandens","NT"
"AMARANTHACEAE","Gomphrena schlechtendaliana","DD"
"AMARANTHACEAE","Gomphrena sellowiana","DD"
"AMARANTHACEAE","Gomphrena vaga","LC"
"AMARANTHACEAE","Hebanthe eriantha","LC"
"AMARANTHACEAE","Hebanthe pulverulenta","LC"
"AMARANTHACEAE","Herbstia brasiliana","DD"
"AMARANTHACEAE","Lecosia oppositifolia","DD"
"AMARANTHACEAE","Pfaffia argyrea","EN"
"AMARANTHACEAE","Pfaffia glabrata","LC"
"AMARANTHACEAE","Pfaffia glomerata","LC"
"AMARANTHACEAE","Pfaffia gnaphaloides","LC"
"AMARANTHACEAE","Pfaffia jubata","LC"
"AMARANTHACEAE","Pfaffia minarum","VU"
"AMARANTHACEAE","Pfaffia townsendii","LC"
"AMARANTHACEAE","Quaternella glabratoides","EN"
