"family_name","species","category"
"AMARYLLIDACEAE","Eithea blumenavia","EN"
"AMARYLLIDACEAE","Griffinia aracensis","CR"
"AMARYLLIDACEAE","Griffinia colatinensis","CR"
"AMARYLLIDACEAE","Griffinia espiritensis","EN"
"AMARYLLIDACEAE","Griffinia gardneriana","EN"
"AMARYLLIDACEAE","Griffinia hyacinthina","EN"
"AMARYLLIDACEAE","Griffinia liboniana","EN"
"AMARYLLIDACEAE","Griffinia nocturna","CR"
"AMARYLLIDACEAE","Griffinia parviflora","CR"
"AMARYLLIDACEAE","Griffinia paubrasilica","CR"
"AMARYLLIDACEAE","Griffinia rochae","DD"
"AMARYLLIDACEAE","Habranthus irwinianus","VU"
"AMARYLLIDACEAE","Hippeastrum angustifolium","VU"
"AMARYLLIDACEAE","Hippeastrum brasilianum","EN"
"AMARYLLIDACEAE","Hippeastrum breviflorum","EN"
"AMARYLLIDACEAE","Hippeastrum goianum","EN"
"AMARYLLIDACEAE","Hippeastrum guarapuavicum","EN"
"AMARYLLIDACEAE","Hippeastrum leucobasis","CR"
"AMARYLLIDACEAE","Hippeastrum morelianum","VU"
"AMARYLLIDACEAE","Hippeastrum papilio","CR"
"AMARYLLIDACEAE","Hippeastrum psittacinum","EN"
"AMARYLLIDACEAE","Hippeastrum reginae","EN"
"AMARYLLIDACEAE","Hippeastrum santacatarina","EN"
"AMARYLLIDACEAE","Hippeastrum striatum","EN"
"AMARYLLIDACEAE","Hippeastrum vittatum","CR"
"AMARYLLIDACEAE","Worsleya rayneri","EN"
"AMARYLLIDACEAE","Zephyranthes brasiliensis","VU"
"AMARYLLIDACEAE","Zephyranthes caerulea","VU"
"AMARYLLIDACEAE","Zephyranthes candida","EN"
"AMARYLLIDACEAE","Zephyranthes capivarina","VU"
"AMARYLLIDACEAE","Zephyranthes paranaensis","EN"
