"family_name","species","category"
"ANNONACEAE","Anaxagorea dolichocarpa","LC"
"ANNONACEAE","Anaxagorea silvatica","NT"
"ANNONACEAE","Annona bahiensis","NT"
"ANNONACEAE","Annona burchellii","DD"
"ANNONACEAE","Annona cacans","LC"
"ANNONACEAE","Annona calcarata","DD"
"ANNONACEAE","Annona coriacea","LC"
"ANNONACEAE","Annona dioica","LC"
"ANNONACEAE","Annona emarginata","LC"
"ANNONACEAE","Annona ferruginea","DD"
"ANNONACEAE","Annona glabra","LC"
"ANNONACEAE","Annona glaucophylla","NT"
"ANNONACEAE","Annona leptopetala","LC"
"ANNONACEAE","Annona malmeana","DD"
"ANNONACEAE","Annona maritima","VU"
"ANNONACEAE","Annona monticola","LC"
"ANNONACEAE","Annona parviflora","EN"
"ANNONACEAE","Annona pickelii","VU"
"ANNONACEAE","Annona sericea","LC"
"ANNONACEAE","Annona spinescens","NT"
"ANNONACEAE","Annona ubatubensis","EN"
"ANNONACEAE","Annona xylopiifolia","NT"
"ANNONACEAE","Bocagea viridis","NT"
"ANNONACEAE","Cymbopetalum brasiliense","LC"
"ANNONACEAE","Duguetia fufuracea","LC"
"ANNONACEAE","Duguetia glabriuscula","LC"
"ANNONACEAE","Duguetia lanceolata","LC"
"ANNONACEAE","Duguetia magnolioidea","EN"
"ANNONACEAE","Duguetia restingae","CR"
"ANNONACEAE","Duguetia reticulata","EN"
"ANNONACEAE","Duguetia rotundifolia","DD"
"ANNONACEAE","Duguetia salicifolia","LC"
"ANNONACEAE","Duguetia scottmorii","CR"
"ANNONACEAE","Duguetia sooretamae","EN"
"ANNONACEAE","Guatteria australis","LC"
"ANNONACEAE","Guatteria campestris","LC"
"ANNONACEAE","Guatteria notabilis","NT"
"ANNONACEAE","Guatteria pohliana","NT"
"ANNONACEAE","Guatteria rupestris","NT"
"ANNONACEAE","Guatteria sellowiana","LC"
"ANNONACEAE","Guatteria villosissima","LC"
"ANNONACEAE","Hornschuchia alba","CR"
"ANNONACEAE","Hornschuchia cauliflora","EN"
"ANNONACEAE","Hornschuchia obliqua","EN"
"ANNONACEAE","Malmea obovata","DD"
"ANNONACEAE","Oxandra reticulata","LC"
"ANNONACEAE","Trigynaea axilliflora","CR"
"ANNONACEAE","Trigynaea oblongifolia","EN"
"ANNONACEAE","Unonopsis riedeliana","EN"
"ANNONACEAE","Xylopia aromatica","LC"
"ANNONACEAE","Xylopia brasiliensis","NT"
