"family_name","species","category"
"APIACEAE","Apium prostratum","LC"
"APIACEAE","Eryngium corallinum","CR"
"APIACEAE","Eryngium divaricatum","EN"
"APIACEAE","Eryngium dorae","CR"
"APIACEAE","Eryngium dusenii","DD"
"APIACEAE","Eryngium ekmanii","LC"
"APIACEAE","Eryngium eriophorum","LC"
"APIACEAE","Eryngium eurycephalum","NT"
"APIACEAE","Eryngium falcifolium","EN"
"APIACEAE","Eryngium glaziovianum","DD"
"APIACEAE","Eryngium koehneanum","VU"
"APIACEAE","Eryngium ombrophilum","EN"
"APIACEAE","Eryngium ramboanum","CR"
"APIACEAE","Eryngium sanguisorba","LC"
"APIACEAE","Eryngium scirpinum","EN"
"APIACEAE","Eryngium smithii","EN"
"APIACEAE","Eryngium stenophyllum","DD"
"APIACEAE","Eryngium urbanianum","EN"
"APIACEAE","Eryngium zosterifolium","VU"
"APIACEAE","Klotzschia rhizophylla","EN"
"APIACEAE","Lilaeopsis brasiliensis","VU"
"APIACEAE","Spananthe paniculata","LC"
