"family_name","species","category"
"APOCYNACEAE","Asclepias aequicornu","LC"
"APOCYNACEAE","Asclepias langsdorffii","LC"
"APOCYNACEAE","Asclepias mellodora","LC"
"APOCYNACEAE","Aspidosperma album","DD"
"APOCYNACEAE","Aspidosperma australe","LC"
"APOCYNACEAE","Aspidosperma cylindrocarpon","LC"
"APOCYNACEAE","Aspidosperma desmanthum","LC"
"APOCYNACEAE","Aspidosperma macrocarpon","LC"
"APOCYNACEAE","Aspidosperma nobile","LC"
"APOCYNACEAE","Aspidosperma polyneuron","NT"
"APOCYNACEAE","Aspidosperma quebracho-blanco","DD"
"APOCYNACEAE","Aspidosperma ramiflorum","LC"
"APOCYNACEAE","Aspidosperma riedelii","LC"
"APOCYNACEAE","Aspidosperma sandwithianum","DD"
"APOCYNACEAE","Aspidosperma spruceanum","LC"
"APOCYNACEAE","Aspidosperma tomentosum","LC"
"APOCYNACEAE","Barjonia erecta","LC"
"APOCYNACEAE","Barjonia grazielae","EN"
"APOCYNACEAE","Barjonia harleyi","EN"
"APOCYNACEAE","Blepharodon bicuspidatum","LC"
"APOCYNACEAE","Blepharodon hatschbachii","EN"
"APOCYNACEAE","Blepharodon manicatum","LC"
"APOCYNACEAE","Cynanchum morrenioides","CR"
"APOCYNACEAE","Ditassa aequicymosa","LC"
"APOCYNACEAE","Ditassa arianeae","EN"
"APOCYNACEAE","Ditassa auriflora","CR"
"APOCYNACEAE","Ditassa cipoensis","EN"
"APOCYNACEAE","Ditassa cordeiroana","EN"
"APOCYNACEAE","Ditassa emmerichii","DD"
"APOCYNACEAE","Ditassa insignis","EN"
"APOCYNACEAE","Ditassa itambensis","EN"
"APOCYNACEAE","Ditassa laevis","EN"
"APOCYNACEAE","Ditassa leonii","VU"
"APOCYNACEAE","Ditassa linearis","NT"
"APOCYNACEAE","Ditassa longisepala","EN"
"APOCYNACEAE","Ditassa maricaensis","EN"
"APOCYNACEAE","Ditassa oberdanii","EN"
"APOCYNACEAE","Ditassa obscura","EN"
"APOCYNACEAE","Gonolobus dorothyanus","CR"
"APOCYNACEAE","Gonolobus parviflorus","LC"
"APOCYNACEAE","Gyrostelma bornmulleri","EN"
"APOCYNACEAE","Gyrostelma oxypetaloides","EN"
"APOCYNACEAE","Hemipogon abietoides","CR"
"APOCYNACEAE","Hemipogon furlanii","EN"
"APOCYNACEAE","Hemipogon harleyi","EN"
"APOCYNACEAE","Hemipogon hatschbachii","CR"
"APOCYNACEAE","Hemipogon irwinii","LC"
"APOCYNACEAE","Hemipogon piranii","CR"
"APOCYNACEAE","Jobinia hatschbachii","EN"
"APOCYNACEAE","Macroditassa adnata","LC"
"APOCYNACEAE","Macroditassa lagoensis","LC"
"APOCYNACEAE","Macroditassa marianae","CR"
"APOCYNACEAE","Macroscepis aurea","DD"
"APOCYNACEAE","Macroscepis magnifica","DD"
"APOCYNACEAE","Malouetia cestroides","LC"
"APOCYNACEAE","Mandevilla coccinea","LC"
"APOCYNACEAE","Mandevilla fragrans","LC"
"APOCYNACEAE","Mandevilla hirsuta","LC"
"APOCYNACEAE","Mandevilla rubra","EN"
"APOCYNACEAE","Mandevilla sellowii","NT"
"APOCYNACEAE","Mandevilla semirii","EN"
"APOCYNACEAE","Mandevilla venulosa","NT"
"APOCYNACEAE","Marsdenia altissima","LC"
"APOCYNACEAE","Marsdenia fontellana","DD"
"APOCYNACEAE","Marsdenia neomanarae","EN"
"APOCYNACEAE","Marsdenia otoniense","CR"
"APOCYNACEAE","Marsdenia queirozii","EN"
"APOCYNACEAE","Marsdenia sessilifolia","EN"
"APOCYNACEAE","Marsdenia virgultorum","DD"
"APOCYNACEAE","Matelea bahiensis","EN"
"APOCYNACEAE","Matelea glaziovii","VU"
"APOCYNACEAE","Matelea hatschbachii","EN"
"APOCYNACEAE","Matelea marcoassisii","VU"
"APOCYNACEAE","Matelea matogrossensis","DD"
"APOCYNACEAE","Matelea refracta","DD"
"APOCYNACEAE","Matelea santosii","EN"
"APOCYNACEAE","Metastelma giuliettianum","EN"
"APOCYNACEAE","Metastelma harleyi","EN"
"APOCYNACEAE","Minaria abortiva","DD"
