"family_name","species","category"
"ARACEAE","Anthurium bromelicola","NT"
"ARACEAE","Anthurium coriaceum","LC"
"ARACEAE","Anthurium fontellanus","DD"
"ARACEAE","Anthurium ianthinopodum","NT"
"ARACEAE","Anthurium jilekii","LC"
"ARACEAE","Anthurium jureianum","VU"
"ARACEAE","Anthurium kunthii","LC"
"ARACEAE","Anthurium langsdorffii","EN"
"ARACEAE","Anthurium longifolium","LC"
"ARACEAE","Anthurium lucidum","EN"
"ARACEAE","Anthurium luschnathianum","EN"
"ARACEAE","Anthurium megapetiolatum","EN"
"ARACEAE","Anthurium organense","NT"
"ARACEAE","Anthurium parasiticum","LC"
"ARACEAE","Anthurium parvum","NT"
"ARACEAE","Anthurium radicans","VU"
"ARACEAE","Anthurium xanthophylloides","VU"
"ARACEAE","Asterostigma cubense","DD"
"ARACEAE","Asterostigma lividum","LC"
"ARACEAE","Asterostigma lombardii","LC"
"ARACEAE","Dieffenbachia aglaonematifolia","LC"
"ARACEAE","Dracontioides desciscens","LC"
"ARACEAE","Heteropsis flexuosa","VU"
"ARACEAE","Heteropsis spruceana","NT"
"ARACEAE","Lemna valdiviana","LC"
"ARACEAE","Philodendron cipoense","EN"
"ARACEAE","Philodendron fragile","EN"
"ARACEAE","Philodendron hatschbachii","NT"
"ARACEAE","Philodendron missionum","LC"
"ARACEAE","Philodendron pachyphyllum","EN"
"ARACEAE","Philodendron rhizomatosum","EN"
"ARACEAE","Philodendron spiritus-sancti","EN"
"ARACEAE","Philodendron vargealtense","LC"
"ARACEAE","Stenospermation ulei","DD"
"ARACEAE","Taccarum peregrinum","LC"
"ARACEAE","Wolffiella oblonga","DD"
