"family_name","species","category"
"ARALIACEAE","Aralia warmingiana","LC"
"ARALIACEAE","Dendropanax cuneatus","LC"
"ARALIACEAE","Hydrocotyle exigua","DD"
"ARALIACEAE","Hydrocotyle langsdorffii","EN"
"ARALIACEAE","Hydrocotyle pusilla","LC"
"ARALIACEAE","Oreopanax capitatus","LC"
"ARALIACEAE","Oreopanax fulvus","LC"
"ARALIACEAE","Schefflera aurata","CR"
"ARALIACEAE","Schefflera botumirimensis","CR"
"ARALIACEAE","Schefflera calva","LC"
"ARALIACEAE","Schefflera cephalantha","CR"
"ARALIACEAE","Schefflera fruticosa","EN"
"ARALIACEAE","Schefflera gardneri","EN"
"ARALIACEAE","Schefflera glaziovii","EN"
"ARALIACEAE","Schefflera lucumoides","EN"
"ARALIACEAE","Schefflera sprucei","VU"
"ARALIACEAE","Schefflera succinea","EN"
"ARALIACEAE","Schefflera varisiana","LC"
