"family_name","species","category"
"ARECACEAE","Acrocomia emensis","VU"
"ARECACEAE","Acrocomia hassleri","LC"
"ARECACEAE","Aiphanes ulei","LC"
"ARECACEAE","Allagoptera arenaria","LC"
"ARECACEAE","Allagoptera brevicalyx","VU"
"ARECACEAE","Astrocaryum aculeatissimum","LC"
"ARECACEAE","Astrocaryum minus","DD"
"ARECACEAE","Attalea barreirensis","VU"
"ARECACEAE","Attalea brasiliensis","EN"
"ARECACEAE","Attalea funifera","NT"
"ARECACEAE","Attalea oleifera","LC"
"ARECACEAE","Attalea phalerata","LC"
"ARECACEAE","Attalea pindobassu","LC"
"ARECACEAE","Attalea tessmannii","LC"
"ARECACEAE","Bactris constanciae","LC"
"ARECACEAE","Bactris ferruginea","NT"
"ARECACEAE","Bactris hatschbachii","LC"
"ARECACEAE","Bactris pickelii","LC"
"ARECACEAE","Bactris timbuiensis","EN"
"ARECACEAE","Butia archeri","LC"
"ARECACEAE","Butia capitata","VU"
"ARECACEAE","Butia eriospatha","VU"
"ARECACEAE","Butia leiospatha","DD"
"ARECACEAE","Butia leptospatha","CR"
"ARECACEAE","Butia microspadix","VU"
"ARECACEAE","Butia paraguayensis","LC"
"ARECACEAE","Butia purpurascens","EN"
"ARECACEAE","Butia yatay","VU"
"ARECACEAE","Euterpe edulis","VU"
"ARECACEAE","Geonoma gamiova","LC"
"ARECACEAE","Geonoma schottiana","LC"
"ARECACEAE","Itaya amicorum","LC"
"ARECACEAE","Lytocaryum insigne","VU"
"ARECACEAE","Mauritia carana","LC"
"ARECACEAE","Prestoea tenuiramosa","LC"
"ARECACEAE","Syagrus botryophora","LC"
"ARECACEAE","Syagrus glaucescens","VU"
"ARECACEAE","Syagrus macrocarpa","EN"
"ARECACEAE","Syagrus mendanhensis","CR"
"ARECACEAE","Syagrus picrophylla","VU"
"ARECACEAE","Syagrus pseudococos","LC"
"ARECACEAE","Syagrus romanzoffiana","LC"
"ARECACEAE","Syagrus ruschiana","VU"
"ARECACEAE","Syagrus schizophylla","NT"
"ARECACEAE","Syagrus smithii","LC"
"ARECACEAE","Syagrus werdermannii","LC"
"ARECACEAE","Trithrinax brasiliensis","NT"
"ARECACEAE","Wettinia drudei","DD"
