"family_name","species","category"
"ASPLENIACEAE","Asplenium austrobrasiliense","NT"
"ASPLENIACEAE","Asplenium beckeri","CR"
"ASPLENIACEAE","Asplenium bradeanum","EN"
"ASPLENIACEAE","Asplenium campos-portoi","NT"
"ASPLENIACEAE","Asplenium castaneum","EN"
"ASPLENIACEAE","Asplenium lacinulatum","LC"
"ASPLENIACEAE","Asplenium muellerianum","LC"
"ASPLENIACEAE","Asplenium praemorsum","LC"
"ASPLENIACEAE","Asplenium schwackei","CR"
"ASPLENIACEAE","Asplenium trindadense","CR"
"ASPLENIACEAE","Asplenium ulbrichtii","LC"
"ASPLENIACEAE","Asplenium wacketii","LC"
