"family_name","species","category"
"ASTERACEAE","Acmella pusilla","EN"
"ASTERACEAE","Acmella serratifolia","LC"
"ASTERACEAE","Acritopappus catolesensis","VU"
"ASTERACEAE","Acritopappus connatifolius","EN"
"ASTERACEAE","Acritopappus irwinii","VU"
"ASTERACEAE","Acritopappus pintoi","CR"
"ASTERACEAE","Agrianthus almasensis","EN"
"ASTERACEAE","Agrianthus giuliettiae","EN"
"ASTERACEAE","Anteremanthus hatschbachii","EN"
"ASTERACEAE","Aspilia almasensis","VU"
"ASTERACEAE","Aspilia attenuata","LC"
"ASTERACEAE","Aspilia belo-horizontinae","CR"
"ASTERACEAE","Aspilia caudata","EN"
"ASTERACEAE","Aspilia clausseniana","LC"
"ASTERACEAE","Aspilia cordifolia","EN"
"ASTERACEAE","Aspilia cylindrocephala","VU"
"ASTERACEAE","Aspilia diamantinae","EN"
"ASTERACEAE","Aspilia diffusiflora","VU"
"ASTERACEAE","Aspilia diniz-cruzeanae","CR"
"ASTERACEAE","Aspilia discolor","DD"
"ASTERACEAE","Aspilia duarteana","NT"
"ASTERACEAE","Aspilia eglerii","CR"
"ASTERACEAE","Aspilia espinhacensis","EN"
"ASTERACEAE","Aspilia floribunda","LC"
"ASTERACEAE","Aspilia goiazensis","VU"
"ASTERACEAE","Aspilia grazielae","EN"
"ASTERACEAE","Aspilia hatschbachii","DD"
"ASTERACEAE","Aspilia jugata","CR"
"ASTERACEAE","Aspilia ovatifolia","CR"
"ASTERACEAE","Aspilia paraensis","LC"
"ASTERACEAE","Aspilia pereirae","EN"
"ASTERACEAE","Aspilia podophylla","DD"
"ASTERACEAE","Aspilia pohlii","DD"
"ASTERACEAE","Aspilia procumbens","LC"
"ASTERACEAE","Aspilia prostrata","EN"
"ASTERACEAE","Aspilia pseudoyedaea","EN"
"ASTERACEAE","Aspilia reticulata","VU"
"ASTERACEAE","Aspilia silphioides","EN"
"ASTERACEAE","Austrocritonia angulicaulis","LC"
"ASTERACEAE","Austroeupatorium rosmarinaceum","VU"
"ASTERACEAE","Baccharis arassatubaensis","EN"
"ASTERACEAE","Baccharis brevifolia","LC"
"ASTERACEAE","Baccharis concinna","VU"
