"family_name","species","category"
"BEGONIACEAE","Begonia albidula","EN"
"BEGONIACEAE","Begonia altamiroi","EN"
"BEGONIACEAE","Begonia angularis","LC"
"BEGONIACEAE","Begonia apparicioi","EN"
"BEGONIACEAE","Begonia bahiensis","EN"
"BEGONIACEAE","Begonia besleriifolia","EN"
"BEGONIACEAE","Begonia brevilobata","DD"
"BEGONIACEAE","Begonia coccinea","EN"
"BEGONIACEAE","Begonia crispula","CR"
"BEGONIACEAE","Begonia curtii","VU"
"BEGONIACEAE","Begonia dentatiloba","EN"
"BEGONIACEAE","Begonia descoleana","LC"
"BEGONIACEAE","Begonia espiritosantensis","EN"
"BEGONIACEAE","Begonia fruticosa","LC"
"BEGONIACEAE","Begonia handroi","EN"
"BEGONIACEAE","Begonia herbacea","LC"
"BEGONIACEAE","Begonia hirtella","LC"
"BEGONIACEAE","Begonia hispida","LC"
"BEGONIACEAE","Begonia huegelii","LC"
"BEGONIACEAE","Begonia ibitiocensis","EN"
"BEGONIACEAE","Begonia inconspicua","CR"
"BEGONIACEAE","Begonia integerrima","LC"
"BEGONIACEAE","Begonia itaguassuensis","EN"
"BEGONIACEAE","Begonia itatinensis","EN"
"BEGONIACEAE","Begonia jureiensis","CR"
"BEGONIACEAE","Begonia kuhlmannii","EN"
"BEGONIACEAE","Begonia larorum","CR"
"BEGONIACEAE","Begonia obscura","DD"
"BEGONIACEAE","Begonia organensis","EN"
"BEGONIACEAE","Begonia paranaensis","EN"
"BEGONIACEAE","Begonia paulensis","EN"
"BEGONIACEAE","Begonia perdusenii","EN"
"BEGONIACEAE","Begonia piresiana","CR"
"BEGONIACEAE","Begonia pluvialis","EN"
"BEGONIACEAE","Begonia polygonifolia","EN"
"BEGONIACEAE","Begonia radicans","LC"
"BEGONIACEAE","Begonia rufa","LC"
"BEGONIACEAE","Begonia ruschii","CR"
"BEGONIACEAE","Begonia salesopolensis","CR"
"BEGONIACEAE","Begonia santoslimae","EN"
"BEGONIACEAE","Begonia scharffii","CR"
"BEGONIACEAE","Begonia smilacina","EN"
"BEGONIACEAE","Begonia stenolepis","EN"
"BEGONIACEAE","Begonia sylvatica","EN"
"BEGONIACEAE","Begonia toledoana","EN"
"BEGONIACEAE","Begonia ulmifolia","LC"
"BEGONIACEAE","Begonia undulata","EN"
"BEGONIACEAE","Begonia valdensium","LC"
"BEGONIACEAE","Begonia venosa","CR"
"BEGONIACEAE","Begonia vicina","EN"
