"family_name","species","category"
"BIGNONIACEAE","Adenocalymma campicola","LC"
"BIGNONIACEAE","Adenocalymma dichilum","EN"
"BIGNONIACEAE","Adenocalymma fruticosum","EN"
"BIGNONIACEAE","Adenocalymma magnoalatum","EN"
"BIGNONIACEAE","Adenocalymma nervosum","NT"
"BIGNONIACEAE","Adenocalymma paulistarum","LC"
"BIGNONIACEAE","Adenocalymma reticulatum","NT"
"BIGNONIACEAE","Adenocalymma subspicatum","EN"
"BIGNONIACEAE","Adenocalymma ubatubense","CR"
"BIGNONIACEAE","Anemopaegma arvense","EN"
"BIGNONIACEAE","Anemopaegma mirabile","CR"
"BIGNONIACEAE","Anemopaegma patelliforme","DD"
"BIGNONIACEAE","Digomphia densicoma","VU"
"BIGNONIACEAE","Fridericia caudigera","LC"
"BIGNONIACEAE","Fridericia crassa","VU"
"BIGNONIACEAE","Fridericia elegans","NT"
"BIGNONIACEAE","Fridericia pubescens","LC"
"BIGNONIACEAE","Godmania dardanoi","LC"
"BIGNONIACEAE","Handroanthus albus","LC"
"BIGNONIACEAE","Handroanthus arianeae","EN"
"BIGNONIACEAE","Handroanthus botelhensis","NT"
"BIGNONIACEAE","Handroanthus catarinensis","LC"
"BIGNONIACEAE","Handroanthus cristatus","NT"
"BIGNONIACEAE","Handroanthus heptaphyllus","LC"
"BIGNONIACEAE","Handroanthus impetiginosus","NT"
"BIGNONIACEAE","Handroanthus riodocensis","EN"
"BIGNONIACEAE","Handroanthus selachidentatus","NT"
"BIGNONIACEAE","Handroanthus spongiosus","EN"
"BIGNONIACEAE","Jacaranda bullata","DD"
"BIGNONIACEAE","Jacaranda carajasensis","CR"
"BIGNONIACEAE","Jacaranda crassifolia","EN"
"BIGNONIACEAE","Jacaranda egleri","CR"
"BIGNONIACEAE","Jacaranda grandifoliolata","EN"
"BIGNONIACEAE","Jacaranda intricata","CR"
"BIGNONIACEAE","Jacaranda macrantha","LC"
"BIGNONIACEAE","Jacaranda microcalyx","EN"
"BIGNONIACEAE","Jacaranda puberula","LC"
"BIGNONIACEAE","Jacaranda racemosa","LC"
"BIGNONIACEAE","Jacaranda rugosa","EN"
"BIGNONIACEAE","Jacaranda subalpina","LC"
"BIGNONIACEAE","Jacaranda ulei","LC"
"BIGNONIACEAE","Lundia damazii","VU"
"BIGNONIACEAE","Paratecoma peroba","EN"
"BIGNONIACEAE","Pleonotoma bracteata","VU"
"BIGNONIACEAE","Sparattosperma catingae","EN"
"BIGNONIACEAE","Tabebuia cassinoides","EN"
"BIGNONIACEAE","Tabebuia obtusifolia","LC"
"BIGNONIACEAE","Zeyheria montana","LC"
"BIGNONIACEAE","Zeyheria tuberculosa","VU"
