"family_name","species","category"
"BROMELIACEAE","Acanthostachys pitcairnioides","DD"
"BROMELIACEAE","Aechmea alopecurus","EN"
"BROMELIACEAE","Aechmea amicorum","EN"
"BROMELIACEAE","Aechmea apocalyptica","VU"
"BROMELIACEAE","Aechmea azurea","VU"
"BROMELIACEAE","Aechmea bambusoides","VU"
"BROMELIACEAE","Aechmea blanchetiana","NT"
"BROMELIACEAE","Aechmea blumenavii","LC"
"BROMELIACEAE","Aechmea bromeliifolia","LC"
"BROMELIACEAE","Aechmea bromeliifolia","LC"
"BROMELIACEAE","Aechmea calyculata","LC"
"BROMELIACEAE","Aechmea candida","DD"
"BROMELIACEAE","Aechmea capixabae","DD"
"BROMELIACEAE","Aechmea cariocae","EN"
"BROMELIACEAE","Aechmea castanea","EN"
"BROMELIACEAE","Aechmea caudata","LC"
"BROMELIACEAE","Aechmea cylindrata","LC"
"BROMELIACEAE","Aechmea depressa","EN"
"BROMELIACEAE","Aechmea distichantha","LC"
"BROMELIACEAE","Aechmea echinata","EN"
"BROMELIACEAE","Aechmea entringeri","DD"
"BROMELIACEAE","Aechmea eurycorymbus","NT"
"BROMELIACEAE","Aechmea fosteriana","EN"
"BROMELIACEAE","Aechmea gamosepala","LC"
"BROMELIACEAE","Aechmea gracilis","LC"
"BROMELIACEAE","Aechmea guarapariensis","DD"
"BROMELIACEAE","Aechmea gustavoi","CR"
"BROMELIACEAE","Aechmea kertesziae","EN"
"BROMELIACEAE","Aechmea kleinii","EN"
"BROMELIACEAE","Aechmea lingulata","DD"
"BROMELIACEAE","Aechmea maasii","NT"
"BROMELIACEAE","Aechmea macrochlamys","EN"
"BROMELIACEAE","Aechmea marginalis","CR"
"BROMELIACEAE","Aechmea muricata","EN"
"BROMELIACEAE","Aechmea mutica","EN"
"BROMELIACEAE","Aechmea nudicaulis","LC"
"BROMELIACEAE","Aechmea orlandiana","CR"
"BROMELIACEAE","Aechmea pectinata","LC"
"BROMELIACEAE","Aechmea pedicellata","DD"
"BROMELIACEAE","Aechmea pimenti-velosoi","DD"
"BROMELIACEAE","Aechmea podantha","DD"
"BROMELIACEAE","Aechmea recurvata","DD"
"BROMELIACEAE","Aechmea recurvata","DD"
"BROMELIACEAE","Aechmea rubrolilacina","DD"
"BROMELIACEAE","Aechmea setigera","LC"
"BROMELIACEAE","Aechmea sphaerocephala","EN"
"BROMELIACEAE","Aechmea triangularis","EN"
"BROMELIACEAE","Aechmea vanhoutteana","VU"
"BROMELIACEAE","Aechmea werdermannii","EN"
"BROMELIACEAE","Aechmea winkleri","CR"
"BROMELIACEAE","Alcantarea benzingii","CR"
"BROMELIACEAE","Alcantarea burle-marxii","DD"
"BROMELIACEAE","Alcantarea duarteana","EN"
"BROMELIACEAE","Alcantarea farneyi","CR"
"BROMELIACEAE","Alcantarea geniculata","EN"
"BROMELIACEAE","Alcantarea glaziouana","EN"
"BROMELIACEAE","Alcantarea hatschbachii","DD"
"BROMELIACEAE","Alcantarea imperialis","VU"
"BROMELIACEAE","Alcantarea nahoumii","VU"
"BROMELIACEAE","Alcantarea nevaresii","EN"
"BROMELIACEAE","Alcantarea roberto-kautskyi","NT"
"BROMELIACEAE","Alcantarea vinicolor","EN"
"BROMELIACEAE","Ananas fritzmuelleri","LC"
"BROMELIACEAE","Araeococcus montanus","EN"
"BROMELIACEAE","Araeococcus parviflorus","LC"
"BROMELIACEAE","Billbergia alfonsijoannis","LC"
"BROMELIACEAE","Billbergia brasiliensis","EN"
"BROMELIACEAE","Billbergia distachia","LC"
"BROMELIACEAE","Billbergia leptopoda","LC"
"BROMELIACEAE","Billbergia lietzei","DD"
"BROMELIACEAE","Billbergia lymanii","NT"
"BROMELIACEAE","Billbergia macrocalyx","DD"
"BROMELIACEAE","Billbergia magnifica","LC"
"BROMELIACEAE","Billbergia meyeri","LC"
"BROMELIACEAE","Billbergia minarum","NT"
"BROMELIACEAE","Billbergia nutans","LC"
"BROMELIACEAE","Billbergia pohliana","DD"
"BROMELIACEAE","Billbergia pyramidalis","DD"
"BROMELIACEAE","Billbergia zebrina","LC"
"BROMELIACEAE","Bromelia balansae","LC"
"BROMELIACEAE","Bromelia braunii","CR"
"BROMELIACEAE","Bromelia macedoi","VU"
"BROMELIACEAE","Canistropsis albiflora","VU"
"BROMELIACEAE","Canistropsis elata","CR"
"BROMELIACEAE","Canistropsis microps","LC"
"BROMELIACEAE","Canistrum alagoanum","EN"
"BROMELIACEAE","Canistrum aurantiacum","EN"
"BROMELIACEAE","Canistrum camacaense","EN"
"BROMELIACEAE","Canistrum fosterianum","CR"
"BROMELIACEAE","Canistrum guzmanioides","EN"
"BROMELIACEAE","Canistrum montanum","EN"
"BROMELIACEAE","Canistrum pickelii","VU"
"BROMELIACEAE","Canistrum triangulare","EN"
"BROMELIACEAE","Cryptanthus beuckeri","NT"
"BROMELIACEAE","Cryptanthus burle-marxii","VU"
"BROMELIACEAE","Cryptanthus capitatus","EN"
"BROMELIACEAE","Cryptanthus caracensis","CR"
"BROMELIACEAE","Cryptanthus caulescens","EN"
"BROMELIACEAE","Cryptanthus coriaceus","EN"
"BROMELIACEAE","Cryptanthus correia-araujoi","DD"
"BROMELIACEAE","Cryptanthus dorothyae","EN"
"BROMELIACEAE","Cryptanthus duartei","EN"
"BROMELIACEAE","Cryptanthus exaltatus","EN"
"BROMELIACEAE","Cryptanthus fernseeoides","CR"
"BROMELIACEAE","Cryptanthus fosterianus","CR"
"BROMELIACEAE","Cryptanthus glazioui","CR"
"BROMELIACEAE","Cryptanthus grazielae","DD"
"BROMELIACEAE","Cryptanthus latifolius","DD"
"BROMELIACEAE","Cryptanthus leopoldo-horstii","DD"
"BROMELIACEAE","Cryptanthus leuzingerae","DD"
"BROMELIACEAE","Cryptanthus lutherianus","DD"
"BROMELIACEAE","Cryptanthus maritimus","EN"
"BROMELIACEAE","Cryptanthus minarum","EN"
"BROMELIACEAE","Cryptanthus odoratissimus","EN"
"BROMELIACEAE","Cryptanthus pseudoglazioui","DD"
"BROMELIACEAE","Cryptanthus pseudoscaposus","EN"
"BROMELIACEAE","Cryptanthus roberto-kautskyi","CR"
"BROMELIACEAE","Cryptanthus scaposus","EN"
"BROMELIACEAE","Cryptanthus whitmanii","CR"
"BROMELIACEAE","Cryptanthus zonatus","VU"
"BROMELIACEAE","Deuterocohnia meziana","VU"
"BROMELIACEAE","Disteganthus calatheoides","DD"
"BROMELIACEAE","Dyckia agudensis","CR"
"BROMELIACEAE","Dyckia alba","DD"
"BROMELIACEAE","Dyckia argentea","EN"
"BROMELIACEAE","Dyckia brachyphylla","EN"
"BROMELIACEAE","Dyckia bracteata","LC"
"BROMELIACEAE","Dyckia brevifolia","DD"
"BROMELIACEAE","Dyckia cabrerae","EN"
"BROMELIACEAE","Dyckia choristaminea","DD"
"BROMELIACEAE","Dyckia commixta","DD"
"BROMELIACEAE","Dyckia delicata","CR"
"BROMELIACEAE","Dyckia densiflora","DD"
"BROMELIACEAE","Dyckia distachya","CR"
"BROMELIACEAE","Dyckia domfelicianensis","CR"
"BROMELIACEAE","Dyckia dusenii","DD"
"BROMELIACEAE","Dyckia elisabethae","DD"
"BROMELIACEAE","Dyckia elongata","DD"
"BROMELIACEAE","Dyckia encholirioides","NT"
"BROMELIACEAE","Dyckia fosteriana","EN"
"BROMELIACEAE","Dyckia hatschbachii","CR"
"BROMELIACEAE","Dyckia hebdingii","DD"
"BROMELIACEAE","Dyckia ibicuiensis","CR"
"BROMELIACEAE","Dyckia ibiramensis","EN"
"BROMELIACEAE","Dyckia irmgardiae","DD"
"BROMELIACEAE","Dyckia julianae","DD"
"BROMELIACEAE","Dyckia maritima","EN"
"BROMELIACEAE","Dyckia mello-barretoi","DD"
"BROMELIACEAE","Dyckia minarum","LC"
"BROMELIACEAE","Dyckia monticola","CR"
"BROMELIACEAE","Dyckia pectinata","EN"
"BROMELIACEAE","Dyckia polycladus","DD"
"BROMELIACEAE","Dyckia pseudococcinea","CR"
"BROMELIACEAE","Dyckia rariflora","EN"
"BROMELIACEAE","Dyckia reitzii","EN"
"BROMELIACEAE","Dyckia remotiflora","EN"
"BROMELIACEAE","Dyckia retroflexa","DD"
"BROMELIACEAE","Dyckia rigida","DD"
"BROMELIACEAE","Dyckia tuberosa","LC"
"BROMELIACEAE","Dyckia ursina","CR"
"BROMELIACEAE","Edmundoa lindenii","LC"
"BROMELIACEAE","Eduandrea selloana","EN"
"BROMELIACEAE","Encholirium biflorum","CR"
"BROMELIACEAE","Encholirium disjunctum","CR"
"BROMELIACEAE","Encholirium fragae","DD"
"BROMELIACEAE","Encholirium gracile","EN"
"BROMELIACEAE","Encholirium heloisae","EN"
"BROMELIACEAE","Encholirium horridum","EN"
"BROMELIACEAE","Encholirium irwinii","CR"
"BROMELIACEAE","Encholirium kranzianum","CR"
"BROMELIACEAE","Encholirium longiflorum","CR"
"BROMELIACEAE","Encholirium luxor","EN"
