"family_name","species","category"
"BURSERACEAE","Bursera simaruba","VU"
"BURSERACEAE","Dacryodes edilsonii","EN"
"BURSERACEAE","Protium bahianum","EN"
"BURSERACEAE","Protium dawsonii","LC"
"BURSERACEAE","Protium giganteum","VU"
"BURSERACEAE","Protium heptaphyllum","DD"
"BURSERACEAE","Protium icicariba","EN"
"BURSERACEAE","Protium inodorum","EN"
"BURSERACEAE","Protium kleinii","LC"
"BURSERACEAE","Tetragastris occhionii","EN"
"BURSERACEAE","Trattinnickia ferruginea","EN"
"BURSERACEAE","Trattinnickia mensalis","EN"
