"family_name","species","category"
"CACTACEAE","Arrojadoa bahiensis","EN"
"CACTACEAE","Arrojadoa dinae","NT"
"CACTACEAE","Arrojadoa eriocaulis","EN"
"CACTACEAE","Arthrocereus glaziovii","EN"
"CACTACEAE","Arthrocereus melanurus","EN"
"CACTACEAE","Arthrocereus melanurus","EN"
"CACTACEAE","Arthrocereus melanurus","EN"
"CACTACEAE","Arthrocereus rondonianus","EN"
"CACTACEAE","Brasilicereus markgrafii","EN"
"CACTACEAE","Brasiliopuntia brasiliensis","LC"
"CACTACEAE","Cereus mirabella","VU"
"CACTACEAE","Cipocereus bradei","VU"
"CACTACEAE","Cipocereus crassisepalus","EN"
"CACTACEAE","Cipocereus laniflorus","EN"
"CACTACEAE","Cipocereus minensis","VU"
"CACTACEAE","Cipocereus pleurocarpus","NT"
"CACTACEAE","Cipocereus pusilliflorus","CR"
"CACTACEAE","Coleocephalocereus buxbaumianus","VU"
"CACTACEAE","Coleocephalocereus fluminensis","EN"
"CACTACEAE","Coleocephalocereus purpureus","EN"
"CACTACEAE","Discocactus bahiensis","VU"
"CACTACEAE","Discocactus catingicola","VU"
"CACTACEAE","Discocactus ferricola","DD"
"CACTACEAE","Discocactus heptacanthus","DD"
"CACTACEAE","Discocactus horstii","CR"
"CACTACEAE","Discocactus placentiformis","NT"
"CACTACEAE","Discocactus pseudoinsignis","CR"
"CACTACEAE","Discocactus zehntneri","VU"
"CACTACEAE","Echinopsis calochlora","CR"
"CACTACEAE","Echinopsis oxygona","EN"
"CACTACEAE","Epiphyllum phyllanthus","LC"
"CACTACEAE","Espostoopsis dybowskii","EN"
"CACTACEAE","Facheiroa cephaliomelana","EN"
"CACTACEAE","Facheiroa cephaliomelana","EN"
"CACTACEAE","Facheiroa ulei","EN"
"CACTACEAE","Frailea buenekeri","EN"
"CACTACEAE","Frailea castanea","EN"
"CACTACEAE","Frailea curvispina","DD"
"CACTACEAE","Frailea gracillima","NT"
"CACTACEAE","Frailea mammifera","CR"
"CACTACEAE","Frailea phaeodisca","EN"
"CACTACEAE","Frailea pumila","VU"
"CACTACEAE","Frailea pygmaea","VU"
"CACTACEAE","Frailea schilinzkyana","DD"
"CACTACEAE","Gymnocalycium denudatum","EN"
"CACTACEAE","Gymnocalycium horstii","DD"
"CACTACEAE","Gymnocalycium horstii","DD"
"CACTACEAE","Hatiora cylindrica","DD"
"CACTACEAE","Hatiora herminiae","VU"
"CACTACEAE","Hatiora rosea","DD"
"CACTACEAE","Hylocereus setaceus","LC"
"CACTACEAE","Lepismium cruciforme","LC"
"CACTACEAE","Lepismium houlletianum","LC"
"CACTACEAE","Lepismium warmingianum","LC"
