"family_name","species","category"
"CAMPANULACEAE","Lobelia anceps","EN"
"CAMPANULACEAE","Lobelia brasiliensis","EN"
"CAMPANULACEAE","Lobelia hederacea","NT"
"CAMPANULACEAE","Lobelia hilaireana","EN"
"CAMPANULACEAE","Lobelia langeana","EN"
"CAMPANULACEAE","Lobelia nummularioides","LC"
"CAMPANULACEAE","Lobelia santos-limae","CR"
"CAMPANULACEAE","Lobelia xalapensis","LC"
"CAMPANULACEAE","Siphocampylus corymbiferus","NT"
"CAMPANULACEAE","Siphocampylus lycioides","NT"
"CAMPANULACEAE","Siphocampylus verticillatus","LC"
