"family_name","species","category"
"CELASTRACEAE","Elachyptera coriacea","DD"
"CELASTRACEAE","Elachyptera festiva","LC"
"CELASTRACEAE","Elachyptera micrantha","LC"
"CELASTRACEAE","Maytenus acanthophylla","VU"
"CELASTRACEAE","Maytenus aquifolia","LC"
"CELASTRACEAE","Maytenus basidentata","CR"
"CELASTRACEAE","Maytenus boaria","NT"
"CELASTRACEAE","Maytenus brasiliensis","LC"
"CELASTRACEAE","Maytenus comocladiaeformis","DD"
"CELASTRACEAE","Maytenus floribunda","LC"
"CELASTRACEAE","Maytenus glaucescens","LC"
"CELASTRACEAE","Maytenus ilicifolia","LC"
"CELASTRACEAE","Maytenus opaca","NT"
"CELASTRACEAE","Maytenus quadrangulata","EN"
"CELASTRACEAE","Maytenus radlkoferiana","DD"
"CELASTRACEAE","Maytenus robusta","LC"
"CELASTRACEAE","Maytenus rupestris","VU"
"CELASTRACEAE","Peritassa longifolia","VU"
"CELASTRACEAE","Peritassa sadleri","CR"
"CELASTRACEAE","Salacia arborea","LC"
"CELASTRACEAE","Salacia mosenii","CR"
"CELASTRACEAE","Tontelea lanceolata","EN"
"CELASTRACEAE","Tontelea leptophylla","LC"
"CELASTRACEAE","Tontelea martiana","EN"
