"family_name","species","category"
"CHRYSOBALANACEAE","Couepia belemii","VU"
"CHRYSOBALANACEAE","Couepia carautae","EN"
"CHRYSOBALANACEAE","Couepia joaquinae","CR"
"CHRYSOBALANACEAE","Couepia leitaofilhoi","VU"
"CHRYSOBALANACEAE","Couepia meridionalis","CR"
"CHRYSOBALANACEAE","Couepia monteclarensis","LC"
"CHRYSOBALANACEAE","Couepia schottii","EN"
"CHRYSOBALANACEAE","Exellodendron gardneri","LC"
"CHRYSOBALANACEAE","Exellodendron gracile","EN"
"CHRYSOBALANACEAE","Hirtella insignis","EN"
"CHRYSOBALANACEAE","Hirtella juruensis","EN"
"CHRYSOBALANACEAE","Hirtella parviunguis","CR"
"CHRYSOBALANACEAE","Hirtella racemosa","LC"
"CHRYSOBALANACEAE","Hirtella santosii","EN"
"CHRYSOBALANACEAE","Licania anneae","DD"
"CHRYSOBALANACEAE","Licania aracaensis","LC"
"CHRYSOBALANACEAE","Licania arianeae","EN"
"CHRYSOBALANACEAE","Licania belemii","EN"
"CHRYSOBALANACEAE","Licania bellingtonii","DD"
"CHRYSOBALANACEAE","Licania conferruminata","CR"
"CHRYSOBALANACEAE","Licania gardneri","LC"
"CHRYSOBALANACEAE","Licania indurata","EN"
"CHRYSOBALANACEAE","Licania maguirei","EN"
"CHRYSOBALANACEAE","Parinari brasiliensis","EN"
