"family_name","species","category"
"COMBRETACEAE","Buchenavia hoehneana","NT"
"COMBRETACEAE","Buchenavia iguaratensis","LC"
"COMBRETACEAE","Buchenavia kleinii","LC"
"COMBRETACEAE","Buchenavia pabstii","VU"
"COMBRETACEAE","Buchenavia rabelloana","VU"
"COMBRETACEAE","Combretum rupicola","CR"
"COMBRETACEAE","Terminalia acuminata","EN"
"COMBRETACEAE","Terminalia argentea","LC"
"COMBRETACEAE","Terminalia januariensis","LC"
"COMBRETACEAE","Terminalia kuhlmannii","NT"
"COMBRETACEAE","Terminalia reitzii","DD"
