"family_name","species","category"
"CONVOLVULACEAE","Aniseia martinicensis","DD"
"CONVOLVULACEAE","Bonamia burchellii","LC"
"CONVOLVULACEAE","Bonamia kuhlmannii","CR"
"CONVOLVULACEAE","Convolvulus hasslerianus","DD"
"CONVOLVULACEAE","Cuscuta obtusiflora","NT"
"CONVOLVULACEAE","Evolvulus aurigenius","LC"
"CONVOLVULACEAE","Evolvulus barbatus","DD"
"CONVOLVULACEAE","Evolvulus chapadensis","EN"
"CONVOLVULACEAE","Evolvulus chrysotrichos","EN"
"CONVOLVULACEAE","Evolvulus cressoides","NT"
"CONVOLVULACEAE","Evolvulus ericifolius","LC"
"CONVOLVULACEAE","Evolvulus filipes","LC"
"CONVOLVULACEAE","Evolvulus fuscus","NT"
"CONVOLVULACEAE","Evolvulus glaziovii","VU"
"CONVOLVULACEAE","Evolvulus gnaphalioides","EN"
"CONVOLVULACEAE","Evolvulus kramerioides","VU"
"CONVOLVULACEAE","Evolvulus rariflorus","VU"
"CONVOLVULACEAE","Evolvulus riedelii","EN"
"CONVOLVULACEAE","Evolvulus stellariifolius","EN"
"CONVOLVULACEAE","Ipomoea acutisepala","LC"
"CONVOLVULACEAE","Ipomoea argentea","DD"
"CONVOLVULACEAE","Ipomoea calyptrata","DD"
"CONVOLVULACEAE","Ipomoea campestris","DD"
"CONVOLVULACEAE","Ipomoea carajasensis","VU"
"CONVOLVULACEAE","Ipomoea cavalcantei","EN"
"CONVOLVULACEAE","Ipomoea cynanchifolia","DD"
"CONVOLVULACEAE","Ipomoea daturiflora","VU"
"CONVOLVULACEAE","Ipomoea fimbriosepala","LC"
"CONVOLVULACEAE","Ipomoea hirsutissima","DD"
"CONVOLVULACEAE","Ipomoea macedoi","CR"
"CONVOLVULACEAE","Ipomoea sericophylla","LC"
"CONVOLVULACEAE","Ipomoea subrevoluta","VU"
"CONVOLVULACEAE","Iseia luxurians","LC"
"CONVOLVULACEAE","Jacquemontia hallieriana","VU"
"CONVOLVULACEAE","Jacquemontia revoluta","EN"
"CONVOLVULACEAE","Merremia aturensis","LC"
"CONVOLVULACEAE","Merremia repens","EN"
"CONVOLVULACEAE","Operculina alata","LC"
"CONVOLVULACEAE","Operculina macrocarpa","LC"
