"family_name","species","category"
"CYPERACEAE","Abildgaardia papillosa","CR"
"CYPERACEAE","Bulbostylis distichoides","VU"
"CYPERACEAE","Bulbostylis fendleri","LC"
"CYPERACEAE","Bulbostylis latifolia","NT"
"CYPERACEAE","Bulbostylis loefgrenii","LC"
"CYPERACEAE","Bulbostylis lombardii","NT"
"CYPERACEAE","Bulbostylis nesiotis","VU"
"CYPERACEAE","Bulbostylis smithii","EN"
"CYPERACEAE","Cryptangium claussenii","LC"
"CYPERACEAE","Cryptangium humile","EN"
"CYPERACEAE","Cryptangium polyphyllum","EN"
"CYPERACEAE","Cyperus almensis","EN"
"CYPERACEAE","Cyperus atlanticus","VU"
"CYPERACEAE","Cyperus giganteus","LC"
"CYPERACEAE","Cyperus rotundus","LC"
"CYPERACEAE","Eleocharis barrosii","LC"
"CYPERACEAE","Eleocharis bonariensis","LC"
"CYPERACEAE","Eleocharis loefgreniana","LC"
"CYPERACEAE","Eleocharis morroi","EN"
"CYPERACEAE","Eleocharis olivaceonux","EN"
"CYPERACEAE","Eleocharis plicarhachis","LC"
"CYPERACEAE","Eleocharis stenocarpa","DD"
"CYPERACEAE","Eleocharis urceolata","DD"
"CYPERACEAE","Hypolytrum amorimii","CR"
"CYPERACEAE","Hypolytrum bahiense","EN"
"CYPERACEAE","Hypolytrum lucennoi","VU"
"CYPERACEAE","Hypolytrum paraense","EN"
"CYPERACEAE","Lagenocarpus adamantinus","VU"
"CYPERACEAE","Lagenocarpus bracteosus","EN"
"CYPERACEAE","Machaerina ensifolia","NT"
"CYPERACEAE","Pleurostachys angustifolia","CR"
"CYPERACEAE","Pycreus flavescens","LC"
"CYPERACEAE","Rhynchospora biflora","LC"
"CYPERACEAE","Rhynchospora enmanuelis","EN"
"CYPERACEAE","Rhynchospora filiformis","LC"
"CYPERACEAE","Rhynchospora nardifolia","LC"
"CYPERACEAE","Rhynchospora paranaensis","DD"
"CYPERACEAE","Rhynchospora tenuis","LC"
"CYPERACEAE","Rhynchospora warmingii","LC"
"CYPERACEAE","Scleria balansae","VU"
"CYPERACEAE","Scleria cuyabensis","NT"
"CYPERACEAE","Trilepis tenuis","CR"
