"family_name","species","category"
"DIOSCOREACEAE","Dioscorea aesculifolia","DD"
"DIOSCOREACEAE","Dioscorea asperula","VU"
"DIOSCOREACEAE","Dioscorea campestris","LC"
"DIOSCOREACEAE","Dioscorea grandiflora","LC"
"DIOSCOREACEAE","Dioscorea kunthiana","LC"
"DIOSCOREACEAE","Dioscorea loefgrenii","VU"
"DIOSCOREACEAE","Dioscorea mantiqueirensis","CR"
"DIOSCOREACEAE","Dioscorea mollis","LC"
"DIOSCOREACEAE","Dioscorea orthogoneura","LC"
"DIOSCOREACEAE","Dioscorea pseudomacrocapsa","EN"
"DIOSCOREACEAE","Dioscorea rumicoides","LC"
"DIOSCOREACEAE","Dioscorea sanpaulensis","EN"
"DIOSCOREACEAE","Dioscorea stegelmanniana","LC"
"DIOSCOREACEAE","Dioscorea trifida","LC"
"DIOSCOREACEAE","Dioscorea trilinguis","EN"
