"family_name","species","category"
"DRYOPTERIDACEAE","Ctenitis anniesii","LC"
"DRYOPTERIDACEAE","Ctenitis eriocaulis","LC"
"DRYOPTERIDACEAE","Ctenitis fenestralis","DD"
"DRYOPTERIDACEAE","Elaphoglossum acrocarpum","VU"
"DRYOPTERIDACEAE","Elaphoglossum amplissimum","EN"
"DRYOPTERIDACEAE","Elaphoglossum beckeri","CR"
"DRYOPTERIDACEAE","Elaphoglossum edwallii","LC"
"DRYOPTERIDACEAE","Elaphoglossum gayanum","LC"
"DRYOPTERIDACEAE","Elaphoglossum herminieri","DD"
"DRYOPTERIDACEAE","Elaphoglossum iguapense","LC"
"DRYOPTERIDACEAE","Elaphoglossum insigne","LC"
"DRYOPTERIDACEAE","Elaphoglossum itatiayense","NT"
"DRYOPTERIDACEAE","Elaphoglossum jamesonii","DD"
"DRYOPTERIDACEAE","Elaphoglossum langsdorffii","LC"
"DRYOPTERIDACEAE","Elaphoglossum macahense","LC"
"DRYOPTERIDACEAE","Elaphoglossum nigrescens","LC"
"DRYOPTERIDACEAE","Elaphoglossum pteropus","LC"
"DRYOPTERIDACEAE","Elaphoglossum strictum","LC"
"DRYOPTERIDACEAE","Elaphoglossum tamandarei","NT"
"DRYOPTERIDACEAE","Elaphoglossum tectum","LC"
"DRYOPTERIDACEAE","Elaphoglossum wettsteinii","NT"
"DRYOPTERIDACEAE","Megalastrum wacketii","EN"
"DRYOPTERIDACEAE","Polybotrya speciosa","LC"
"DRYOPTERIDACEAE","Polystichum bradei","EN"
