"family_name","species","category"
"ERICACEAE","Agarista chlorantha","LC"
"ERICACEAE","Agarista niederleinii","LC"
"ERICACEAE","Agarista nummularia","LC"
"ERICACEAE","Agarista pulchra","NT"
"ERICACEAE","Gaultheria sleumeriana","CR"
"ERICACEAE","Gaylussacia angulata","EN"
"ERICACEAE","Gaylussacia caparoensis","EN"
"ERICACEAE","Gaylussacia centunculifolia","EN"
"ERICACEAE","Gaylussacia decipiens","NT"
"ERICACEAE","Gaylussacia harleyi","VU"
"ERICACEAE","Gaylussacia montana","LC"
"ERICACEAE","Gaylussacia oleifolia","EN"
"ERICACEAE","Gaylussacia pruinosa","CR"
"ERICACEAE","Gaylussacia retivenia","CR"
"ERICACEAE","Gaylussacia retusa","NT"
"ERICACEAE","Gaylussacia rhododendron","LC"
"ERICACEAE","Gaylussacia setosa","CR"
"ERICACEAE","Gaylussacia vitis-idaea","NT"
