"family_name","species","category"
"ERIOCAULACEAE","Actinocephalus aggregatus","DD"
"ERIOCAULACEAE","Actinocephalus cabralensis","DD"
"ERIOCAULACEAE","Actinocephalus callophyllus","DD"
"ERIOCAULACEAE","Actinocephalus ciliatus","DD"
"ERIOCAULACEAE","Actinocephalus cipoensis","CR"
"ERIOCAULACEAE","Actinocephalus claussenianus","VU"
"ERIOCAULACEAE","Actinocephalus compactus","DD"
"ERIOCAULACEAE","Actinocephalus coutoensis","DD"
"ERIOCAULACEAE","Actinocephalus deflexus","EN"
"ERIOCAULACEAE","Actinocephalus diffusus","DD"
"ERIOCAULACEAE","Actinocephalus falcifolius","EN"
"ERIOCAULACEAE","Actinocephalus fimbriatus","DD"
"ERIOCAULACEAE","Actinocephalus glabrescens","DD"
"ERIOCAULACEAE","Actinocephalus graminifolius","DD"
"ERIOCAULACEAE","Actinocephalus herzogii","EN"
"ERIOCAULACEAE","Actinocephalus heterotrichus","DD"
"ERIOCAULACEAE","Actinocephalus nodifer","DD"
"ERIOCAULACEAE","Actinocephalus robustus","EN"
"ERIOCAULACEAE","Actinocephalus stereophyllus","EN"
"ERIOCAULACEAE","Comanthera bahiensis","EN"
"ERIOCAULACEAE","Comanthera brasiliana","CR"
"ERIOCAULACEAE","Comanthera chrysolepis","DD"
"ERIOCAULACEAE","Comanthera cipoensis","NT"
"ERIOCAULACEAE","Comanthera circinnata","VU"
"ERIOCAULACEAE","Comanthera curralensis","VU"
"ERIOCAULACEAE","Comanthera elegans","EN"
"ERIOCAULACEAE","Comanthera floccosa","EN"
"ERIOCAULACEAE","Comanthera harleyi","VU"
"ERIOCAULACEAE","Comanthera hatschbachii","VU"
"ERIOCAULACEAE","Comanthera magnifica","DD"
"ERIOCAULACEAE","Comanthera mucugensis","EN"
"ERIOCAULACEAE","Comanthera pignalii","CR"
"ERIOCAULACEAE","Comanthera suberosa","DD"
"ERIOCAULACEAE","Comanthera vernonioides","DD"
"ERIOCAULACEAE","Comanthera vernonioides","DD"
"ERIOCAULACEAE","Eriocaulon aquatile","LC"
"ERIOCAULACEAE","Eriocaulon burchellii","EN"
"ERIOCAULACEAE","Eriocaulon cipoense","CR"
"ERIOCAULACEAE","Eriocaulon griseum","DD"
"ERIOCAULACEAE","Eriocaulon melanolepis","DD"
"ERIOCAULACEAE","Eriocaulon papillosum","DD"
"ERIOCAULACEAE","Leiothrix cipoensis","DD"
"ERIOCAULACEAE","Leiothrix crassifolia","LC"
"ERIOCAULACEAE","Leiothrix distichoclada","LC"
"ERIOCAULACEAE","Leiothrix echinocephala","VU"
"ERIOCAULACEAE","Leiothrix fulgida","EN"
"ERIOCAULACEAE","Leiothrix gomesii","DD"
"ERIOCAULACEAE","Leiothrix linearis","DD"
"ERIOCAULACEAE","Leiothrix luxurians","EN"
"ERIOCAULACEAE","Leiothrix rupestris","CR"
"ERIOCAULACEAE","Leiothrix schlechtendalii","DD"
"ERIOCAULACEAE","Leiothrix sclerophylla","VU"
"ERIOCAULACEAE","Leiothrix sinuosa","VU"
"ERIOCAULACEAE","Leiothrix spiralis","VU"
"ERIOCAULACEAE","Paepalanthus albidus","VU"
"ERIOCAULACEAE","Paepalanthus albo-tomentosus","VU"
"ERIOCAULACEAE","Paepalanthus almasensis","EN"
"ERIOCAULACEAE","Paepalanthus anamariae","DD"
"ERIOCAULACEAE","Paepalanthus argenteus","LC"
"ERIOCAULACEAE","Paepalanthus argenteus","DD"
"ERIOCAULACEAE","Paepalanthus ater","CR"
"ERIOCAULACEAE","Paepalanthus aureus","VU"
"ERIOCAULACEAE","Paepalanthus barbiger","VU"
"ERIOCAULACEAE","Paepalanthus barbulatus","VU"
"ERIOCAULACEAE","Paepalanthus bellus","DD"
"ERIOCAULACEAE","Paepalanthus capixaba","CR"
"ERIOCAULACEAE","Paepalanthus catharinae","DD"
"ERIOCAULACEAE","Paepalanthus cinereus","EN"
"ERIOCAULACEAE","Paepalanthus complanatus","VU"
"ERIOCAULACEAE","Paepalanthus contasensis","EN"
"ERIOCAULACEAE","Paepalanthus cordatus","CR"
"ERIOCAULACEAE","Paepalanthus crinitus","DD"
"ERIOCAULACEAE","Paepalanthus digitiformis","DD"
"ERIOCAULACEAE","Paepalanthus echinoides","EN"
"ERIOCAULACEAE","Paepalanthus erigeron","VU"
"ERIOCAULACEAE","Paepalanthus extremensis","DD"
"ERIOCAULACEAE","Paepalanthus garimpensis","DD"
"ERIOCAULACEAE","Paepalanthus globulifer","EN"
"ERIOCAULACEAE","Paepalanthus grao-mogolensis","DD"
"ERIOCAULACEAE","Paepalanthus harleyi","EN"
"ERIOCAULACEAE","Paepalanthus homomallus","EN"
"ERIOCAULACEAE","Paepalanthus hydra","EN"
"ERIOCAULACEAE","Paepalanthus inopinatus","EN"
"ERIOCAULACEAE","Paepalanthus langsdorffii","DD"
