"family_name","species","category"
"ERYTHROXYLACEAE","Erythroxylum ambiguum","LC"
"ERYTHROXYLACEAE","Erythroxylum anguifugum","LC"
"ERYTHROXYLACEAE","Erythroxylum bezerrae","EN"
"ERYTHROXYLACEAE","Erythroxylum catharinense","EN"
"ERYTHROXYLACEAE","Erythroxylum coelophlebium","LC"
"ERYTHROXYLACEAE","Erythroxylum compressum","EN"
"ERYTHROXYLACEAE","Erythroxylum distortum","NT"
"ERYTHROXYLACEAE","Erythroxylum leal-costae","CR"
"ERYTHROXYLACEAE","Erythroxylum maracasense","NT"
"ERYTHROXYLACEAE","Erythroxylum mattos-silvae","EN"
"ERYTHROXYLACEAE","Erythroxylum membranaceum","EN"
"ERYTHROXYLACEAE","Erythroxylum myrsinites","LC"
"ERYTHROXYLACEAE","Erythroxylum nelson-rosae","EN"
"ERYTHROXYLACEAE","Erythroxylum passerinum","LC"
"ERYTHROXYLACEAE","Erythroxylum pauferrense","EN"
"ERYTHROXYLACEAE","Erythroxylum pelleterianum","LC"
"ERYTHROXYLACEAE","Erythroxylum petrae-caballi","VU"
"ERYTHROXYLACEAE","Erythroxylum pulchrum","LC"
"ERYTHROXYLACEAE","Erythroxylum tianguanum","CR"
