"family_name","species","category"
"EUPHORBIACEAE","Adenophaedra cearensis","CR"
"EUPHORBIACEAE","Algernonia dimitrii","CR"
"EUPHORBIACEAE","Algernonia kuhlmannii","CR"
"EUPHORBIACEAE","Astraea cincta","EN"
"EUPHORBIACEAE","Astraea lobata","LC"
"EUPHORBIACEAE","Bernardia confertifolia","EN"
"EUPHORBIACEAE","Bernardia crassifolia","EN"
"EUPHORBIACEAE","Bernardia similis","DD"
"EUPHORBIACEAE","Caperonia buettneriacea","VU"
"EUPHORBIACEAE","Caperonia palustris","LC"
"EUPHORBIACEAE","Chiropetalum foliosum","EN"
"EUPHORBIACEAE","Chiropetalum gymnadenium","VU"
"EUPHORBIACEAE","Croton arlineae","DD"
"EUPHORBIACEAE","Croton compressus","LC"
"EUPHORBIACEAE","Croton glechomifolius","DD"
"EUPHORBIACEAE","Croton hirtus","LC"
"EUPHORBIACEAE","Croton leptobotryus","VU"
"EUPHORBIACEAE","Croton luetzelburgii","DD"
"EUPHORBIACEAE","Croton serratifolius","LC"
"EUPHORBIACEAE","Croton sphaerogynus","LC"
"EUPHORBIACEAE","Dalechampia glechomifolia","LC"
"EUPHORBIACEAE","Dalechampia leandrii","NT"
"EUPHORBIACEAE","Dalechampia purpurata","EN"
"EUPHORBIACEAE","Dalechampia riparia","CR"
"EUPHORBIACEAE","Dalechampia weddelliana","LC"
"EUPHORBIACEAE","Euphorbia appariciana","EN"
"EUPHORBIACEAE","Euphorbia attastoma","EN"
"EUPHORBIACEAE","Euphorbia crossadenia","EN"
"EUPHORBIACEAE","Euphorbia gymnoclada","VU"
"EUPHORBIACEAE","Euphorbia holochlorina","CR"
"EUPHORBIACEAE","Joannesia princeps","LC"
"EUPHORBIACEAE","Manihot carthaginensis","LC"
"EUPHORBIACEAE","Manihot procumbens","VU"
"EUPHORBIACEAE","Tetrorchidium rubrivenium","LC"
