"family_name","species","category"
"FABACEAE","Abarema acreana","DD"
"FABACEAE","Abarema cochliacarpos","LC"
"FABACEAE","Abarema filamentosa","LC"
"FABACEAE","Abarema obovata","LC"
"FABACEAE","Abarema turbinata","NT"
"FABACEAE","Abarema villifera","DD"
"FABACEAE","Adesmia paranensis","NT"
"FABACEAE","Aeschynomene denticulata","LC"
"FABACEAE","Aeschynomene fructipendula","EN"
"FABACEAE","Aeschynomene graminoides","EN"
"FABACEAE","Aeschynomene laca-buendiana","EN"
"FABACEAE","Aeschynomene montevidensis","LC"
"FABACEAE","Aeschynomene selloi","LC"
"FABACEAE","Aeschynomene sensitiva","DD"
"FABACEAE","Aeschynomene simplicifolia","VU"
"FABACEAE","Albizia burkartiana","VU"
"FABACEAE","Albizia decandra","NT"
"FABACEAE","Albizia edwallii","LC"
"FABACEAE","Albizia glabripetala","EN"
"FABACEAE","Albizia niopoides","LC"
"FABACEAE","Amburana acreana","VU"
"FABACEAE","Amburana cearensis","NT"
"FABACEAE","Andira vermifuga","LC"
"FABACEAE","Apuleia leiocarpa","VU"
"FABACEAE","Arachis villosa","EN"
"FABACEAE","Arapatiella psilophylla","LC"
"FABACEAE","Bauhinia candelabriformis","CR"
"FABACEAE","Bauhinia integerrima","EN"
"FABACEAE","Bauhinia leptantha","VU"
"FABACEAE","Bauhinia malacotrichoides","VU"
"FABACEAE","Bauhinia marginata","DD"
"FABACEAE","Bionia bella","DD"
"FABACEAE","Bocoa ratteri","DD"
"FABACEAE","Bowdichia nitida","LC"
"FABACEAE","Bowdichia virgilioides","NT"
"FABACEAE","Caesalpinia echinata","EN"
"FABACEAE","Calliandra carrascana","EN"
"FABACEAE","Calliandra gardneri","EN"
"FABACEAE","Calliandra imbricata","DD"
"FABACEAE","Calliandra linearis","VU"
"FABACEAE","Calliandra santosiana","DD"
"FABACEAE","Calliandra semisepulta","VU"
"FABACEAE","Camptosema isopetalum","LC"
"FABACEAE","Centrolobium paraense","EN"
"FABACEAE","Centrolobium sclerophyllum","LC"
"FABACEAE","Centrolobium tomentosum","LC"
"FABACEAE","Centrosema bracteosum","LC"
"FABACEAE","Centrosema carajasense","VU"
"FABACEAE","Centrosema jaraguaense","DD"
"FABACEAE","Centrosema pubescens","LC"
"FABACEAE","Centrosema sagittatum","LC"
"FABACEAE","Centrosema teresae","DD"
"FABACEAE","Chamaecrista adamantina","DD"
"FABACEAE","Chamaecrista altoana","EN"
"FABACEAE","Chamaecrista anamariae","EN"
"FABACEAE","Chamaecrista aristata","DD"
"FABACEAE","Chamaecrista atroglandulosa","EN"
"FABACEAE","Chamaecrista belemii","LC"
"FABACEAE","Chamaecrista brevicalyx","DD"
"FABACEAE","Chamaecrista caiapo","DD"
"FABACEAE","Chamaecrista caracensis","DD"
"FABACEAE","Chamaecrista catapodia","DD"
"FABACEAE","Chamaecrista catiarae","DD"
"FABACEAE","Chamaecrista catolesensis","VU"
"FABACEAE","Chamaecrista centiflora","DD"
"FABACEAE","Chamaecrista choriophylla","DD"
"FABACEAE","Chamaecrista cipoana","VU"
"FABACEAE","Chamaecrista coradinii","VU"
"FABACEAE","Chamaecrista coriacea","CR"
"FABACEAE","Chamaecrista deltoidea","DD"
"FABACEAE","Chamaecrista dentata","DD"
"FABACEAE","Chamaecrista dumalis","NT"
"FABACEAE","Chamaecrista ericifolia","EN"
"FABACEAE","Chamaecrista fodinarum","VU"
"FABACEAE","Chamaecrista fuscescens","DD"
"FABACEAE","Chamaecrista geraldii","DD"
"FABACEAE","Chamaecrista gumminans","DD"
"FABACEAE","Chamaecrista gymnothyrsa","EN"
"FABACEAE","Chamaecrista hatschbachii","EN"
"FABACEAE","Chamaecrista itabiritoana","CR"
"FABACEAE","Chamaecrista ixodes","DD"
"FABACEAE","Chamaecrista lagotois","CR"
"FABACEAE","Chamaecrista lavradioides","VU"
"FABACEAE","Chamaecrista leucopilis","DD"
"FABACEAE","Chamaecrista linearifolia","LC"
"FABACEAE","Chamaecrista macedoi","EN"
"FABACEAE","Chamaecrista ochrosperma","VU"
"FABACEAE","Chamaecrista pachyclada","DD"
"FABACEAE","Chamaecrista phyllostachya","EN"
"FABACEAE","Chamaecrista pilicarpa","DD"
"FABACEAE","Chamaecrista polymorpha","DD"
"FABACEAE","Chamaecrista psoraleopsis","DD"
"FABACEAE","Chamaecrista semaphora","LC"
"FABACEAE","Chamaecrista simplifacta","EN"
"FABACEAE","Chamaecrista stillifera","VU"
"FABACEAE","Chamaecrista strictifolia","DD"
"FABACEAE","Chamaecrista tephrosiifolia","VU"
"FABACEAE","Chamaecrista trachycarpa","LC"
"FABACEAE","Chamaecrista ulmea","CR"
"FABACEAE","Chamaecrista vauthieri","EN"
"FABACEAE","Chamaecrista virginis","DD"
"FABACEAE","Chloroleucon extortum","DD"
"FABACEAE","Chloroleucon tortum","NT"
"FABACEAE","Clitoria densiflora","LC"
"FABACEAE","Clitoria epetiolata","NT"
"FABACEAE","Clitoria laurifolia","LC"
"FABACEAE","Collaea speciosa","LC"
"FABACEAE","Coursetia rostrata","LC"
"FABACEAE","Cratylia bahiensis","NT"
"FABACEAE","Cratylia intermedia","LC"
"FABACEAE","Crotalaria goiasensis","NT"
"FABACEAE","Crotalaria irwinii","CR"
"FABACEAE","Crotalaria nitens","LC"
"FABACEAE","Crotalaria otoptera","LC"
"FABACEAE","Crotalaria rufipila","NT"
"FABACEAE","Crotalaria subdecurrens","LC"
"FABACEAE","Dalbergia elegans","VU"
"FABACEAE","Dalbergia nigra","VU"
"FABACEAE","Desmodium craspediferum","EN"
"FABACEAE","Desmodium glabrescens","EN"
"FABACEAE","Desmodium juruenense","EN"
"FABACEAE","Desmodium procumbens","LC"
"FABACEAE","Desmodium venosum","LC"
"FABACEAE","Dimorphandra wilsonii","CR"
"FABACEAE","Dioclea burkartii","LC"
"FABACEAE","Dioclea glabra","LC"
"FABACEAE","Dipteryx alata","LC"
"FABACEAE","Discolobium psoraleifolium","DD"
"FABACEAE","Eriosema glaziovii","DD"
"FABACEAE","Eriosema platycarpon","DD"
"FABACEAE","Galactia benthamiana","LC"
"FABACEAE","Galactia decumbens","LC"
"FABACEAE","Galactia glaucescens","LC"
"FABACEAE","Galactia marginalis","LC"
"FABACEAE","Galactia neesii","LC"
"FABACEAE","Galactia striata","LC"
"FABACEAE","Gleditsia amorphoides","VU"
"FABACEAE","Grazielodendron rio-docensis","NT"
"FABACEAE","Harpalyce lanata","EN"
"FABACEAE","Harpalyce parvifolia","EN"
"FABACEAE","Hymenaea courbaril","LC"
"FABACEAE","Hymenaea martiana","LC"
"FABACEAE","Hymenaea parvifolia","VU"
"FABACEAE","Hymenolobium excelsum","VU"
"FABACEAE","Hymenolobium janeirense","LC"
"FABACEAE","Indigofera bongardiana","LC"
"FABACEAE","Indigofera guaranitica","LC"
"FABACEAE","Inga aptera","VU"
"FABACEAE","Inga arenicola","EN"
"FABACEAE","Inga bicoloriflora","LC"
"FABACEAE","Inga blanchetiana","LC"
"FABACEAE","Inga bollandii","DD"
"FABACEAE","Inga bullata","NT"
"FABACEAE","Inga bullatorugosa","LC"
"FABACEAE","Inga cabelo","DD"
"FABACEAE","Inga calantha","LC"
"FABACEAE","Inga caudata","DD"
"FABACEAE","Inga enterolobioides","CR"
"FABACEAE","Inga exfoliata","NT"
"FABACEAE","Inga exilis","DD"
"FABACEAE","Inga grazielae","VU"
"FABACEAE","Inga hispida","LC"
"FABACEAE","Inga lanceifolia","LC"
"FABACEAE","Inga laurina","LC"
"FABACEAE","Inga lenticellata","LC"
"FABACEAE","Inga lentiscifolia","NT"
"FABACEAE","Inga leptantha","DD"
"FABACEAE","Inga maritima","VU"
"FABACEAE","Inga mendoncaei","VU"
"FABACEAE","Inga microcalyx","DD"
"FABACEAE","Inga pedunculata","CR"
"FABACEAE","Inga platyptera","VU"
"FABACEAE","Inga pleiogyna","VU"
"FABACEAE","Inga praegnans","VU"
"FABACEAE","Inga salicifoliola","DD"
"FABACEAE","Inga santaremnensis","DD"
"FABACEAE","Inga sellowiana","NT"
"FABACEAE","Inga suberosa","DD"
"FABACEAE","Inga suborbicularis","VU"
"FABACEAE","Inga unica","VU"
"FABACEAE","Inga xinguensis","DD"
"FABACEAE","Lathyrus acutifolius","CR"
"FABACEAE","Lathyrus hasslerianus","LC"
"FABACEAE","Lathyrus hookeri","DD"
"FABACEAE","Lathyrus paraguariensis","VU"
"FABACEAE","Lathyrus parodii","DD"
