"family_name","species","category"
"GENTIANACEAE","Curtia tenuifolia","LC"
"GENTIANACEAE","Prepusa hookeriana","EN"
"GENTIANACEAE","Prepusa montana","VU"
"GENTIANACEAE","Prepusa viridiflora","EN"
"GENTIANACEAE","Schultesia aptera","LC"
"GENTIANACEAE","Schultesia bahiensis","LC"
"GENTIANACEAE","Schultesia crenuliflora","VU"
"GENTIANACEAE","Schultesia guianensis","LC"
"GENTIANACEAE","Schultesia irwiniana","CR"
"GENTIANACEAE","Schultesia pachyphylla","LC"
"GENTIANACEAE","Schultesia piresiana","EN"
"GENTIANACEAE","Schultesia sucreana","CR"
"GENTIANACEAE","Senaea coerulea","EN"
"GENTIANACEAE","Senaea janeirensis","EN"
"GENTIANACEAE","Tetrapollinia caerulescens","LC"
"GENTIANACEAE","Voyria aphylla","DD"
"GENTIANACEAE","Zygostigma australe","EN"
