"family_name","species","category"
"GESNERIACEAE","Anetanthus gracilis","DD"
"GESNERIACEAE","Besleria meridionalis","DD"
"GESNERIACEAE","Besleria umbrosa","VU"
"GESNERIACEAE","Codonanthe carnosa","VU"
"GESNERIACEAE","Codonanthe devosiana","LC"
"GESNERIACEAE","Codonanthe gracilis","LC"
"GESNERIACEAE","Codonanthe uleana","LC"
"GESNERIACEAE","Codonanthe venosa","VU"
"GESNERIACEAE","Columnea sanguinea","DD"
"GESNERIACEAE","Drymonia serrulata","LC"
"GESNERIACEAE","Goyazia petraea","EN"
"GESNERIACEAE","Mandirola ichthyostoma","DD"
"GESNERIACEAE","Napeanthus primulifolius","LC"
"GESNERIACEAE","Nematanthus crassifolius","LC"
"GESNERIACEAE","Nematanthus fornix","LC"
"GESNERIACEAE","Nematanthus hirtellus","NT"
"GESNERIACEAE","Nematanthus lanceolatus","LC"
"GESNERIACEAE","Nematanthus monanthos","EN"
"GESNERIACEAE","Nematanthus sericeus","NT"
"GESNERIACEAE","Nematanthus strigillosus","NT"
"GESNERIACEAE","Nematanthus tessmannii","LC"
"GESNERIACEAE","Paliavana plumerioides","EN"
"GESNERIACEAE","Paliavana tenuiflora","LC"
"GESNERIACEAE","Paliavana werdermannii","VU"
"GESNERIACEAE","Seemannia sylvatica","NT"
"GESNERIACEAE","Sinningia aghensis","EN"
"GESNERIACEAE","Sinningia araneosa","VU"
"GESNERIACEAE","Sinningia barbata","LC"
"GESNERIACEAE","Sinningia brasiliensis","LC"
"GESNERIACEAE","Sinningia canescens","NT"
"GESNERIACEAE","Sinningia carangolensis","EN"
"GESNERIACEAE","Sinningia cardinalis","CR"
"GESNERIACEAE","Sinningia cochlearis","CR"
"GESNERIACEAE","Sinningia conspicua","DD"
"GESNERIACEAE","Sinningia cooperi","LC"
"GESNERIACEAE","Sinningia curtiflora","NT"
"GESNERIACEAE","Sinningia defoliata","VU"
"GESNERIACEAE","Sinningia douglasii","LC"
"GESNERIACEAE","Sinningia elatior","LC"
"GESNERIACEAE","Sinningia glazioviana","CR"
"GESNERIACEAE","Sinningia guttata","EN"
"GESNERIACEAE","Sinningia harleyi","EN"
"GESNERIACEAE","Sinningia hatschbachii","EN"
"GESNERIACEAE","Sinningia hirsuta","EN"
"GESNERIACEAE","Sinningia iarae","EN"
"GESNERIACEAE","Sinningia insularis","EN"
"GESNERIACEAE","Sinningia kautskyi","VU"
"GESNERIACEAE","Sinningia lindleyi","EN"
"GESNERIACEAE","Sinningia lineata","EN"
"GESNERIACEAE","Sinningia macropoda","LC"
"GESNERIACEAE","Sinningia magnifica","LC"
"GESNERIACEAE","Sinningia micans","EN"
"GESNERIACEAE","Sinningia piresiana","EN"
"GESNERIACEAE","Sinningia rupicola","EN"
"GESNERIACEAE","Sinningia sceptrum","LC"
"GESNERIACEAE","Sinningia speciosa","NT"
"GESNERIACEAE","Sinningia striata","VU"
"GESNERIACEAE","Sinningia tuberosa","VU"
"GESNERIACEAE","Sinningia valsuganensis","EN"
"GESNERIACEAE","Sinningia villosa","EN"
"GESNERIACEAE","Sinningia warmingii","LC"
"GESNERIACEAE","Sphaerorrhiza burchellii","EN"
"GESNERIACEAE","Sphaerorrhiza sarmentiana","LC"
"GESNERIACEAE","Vanhouttea bradeana","DD"
"GESNERIACEAE","Vanhouttea calcarata","LC"
"GESNERIACEAE","Vanhouttea fruticulosa","DD"
"GESNERIACEAE","Vanhouttea lanata","EN"
"GESNERIACEAE","Vanhouttea leonii","EN"
"GESNERIACEAE","Vanhouttea pendula","EN"
