"family_name","species","category"
"HYMENOPHYLLACEAE","Didymoglossum kapplerianum","DD"
"HYMENOPHYLLACEAE","Didymoglossum ovale","LC"
"HYMENOPHYLLACEAE","Hymenophyllum fragile","LC"
"HYMENOPHYLLACEAE","Hymenophyllum magellanicum","LC"
"HYMENOPHYLLACEAE","Hymenophyllum peltatum","LC"
"HYMENOPHYLLACEAE","Hymenophyllum rufum","LC"
"HYMENOPHYLLACEAE","Hymenophyllum sampaioanum","CR"
"HYMENOPHYLLACEAE","Hymenophyllum silveirae","CR"
"HYMENOPHYLLACEAE","Trichomanes lucens","LC"
"HYMENOPHYLLACEAE","Trichomanes macilentum","DD"
"HYMENOPHYLLACEAE","Trichomanes spruceanum","DD"
