"family_name","species","category"
"IRIDACEAE","Alophia coerulea","NT"
"IRIDACEAE","Neomarica glauca","NT"
"IRIDACEAE","Neomarica humilis","LC"
"IRIDACEAE","Neomarica longifolia","NT"
"IRIDACEAE","Neomarica sabinii","LC"
"IRIDACEAE","Neomarica silvestris","NT"
"IRIDACEAE","Pseudotrimezia aminae","DD"
"IRIDACEAE","Pseudotrimezia brevistamina","CR"
"IRIDACEAE","Pseudotrimezia concava","CR"
"IRIDACEAE","Pseudotrimezia elegans","CR"
"IRIDACEAE","Pseudotrimezia gracilis","CR"
"IRIDACEAE","Pseudotrimezia synandra","EN"
"IRIDACEAE","Pseudotrimezia tenuissima","EN"
"IRIDACEAE","Sisyrinchium rambonis","LC"
"IRIDACEAE","Trimezia brevicaulis","LC"
"IRIDACEAE","Trimezia exillima","EN"
"IRIDACEAE","Trimezia fistulosa","EN"
"IRIDACEAE","Trimezia fistulosa","CR"
"IRIDACEAE","Trimezia plicatifolia","EN"
"IRIDACEAE","Trimezia pusilla","NT"
