"family_name","species","category"
"LAMIACEAE","Eriope anamariae","EN"
"LAMIACEAE","Eriope angustifolia","CR"
"LAMIACEAE","Eriope blanchetii","VU"
"LAMIACEAE","Eriope confusa","EN"
"LAMIACEAE","Eriope crassipes","LC"
"LAMIACEAE","Eriope crassipes","CR"
"LAMIACEAE","Eriope filifolia","EN"
"LAMIACEAE","Eriope luetzelburgii","VU"
"LAMIACEAE","Eriope machrisae","EN"
"LAMIACEAE","Eriope macrostachya","LC"
"LAMIACEAE","Eriope montana","VU"
"LAMIACEAE","Eriope obovata","EN"
"LAMIACEAE","Eriope simplex","NT"
"LAMIACEAE","Eriope sincorana","NT"
"LAMIACEAE","Eriope xavantium","DD"
"LAMIACEAE","Hypenia aristulata","CR"
"LAMIACEAE","Hypenia concinna","DD"
"LAMIACEAE","Hypenia crispata","EN"
"LAMIACEAE","Hypenia micrantha","EN"
"LAMIACEAE","Hypenia paradisi","EN"
"LAMIACEAE","Hypenia subrosea","EN"
"LAMIACEAE","Hyptidendron amethystoides","LC"
"LAMIACEAE","Hyptidendron asperrimum","LC"
"LAMIACEAE","Hyptidendron claussenii","EN"
"LAMIACEAE","Hyptidendron conspersum","EN"
"LAMIACEAE","Hyptidendron dictiocalyx","EN"
"LAMIACEAE","Hyptis alpestris","EN"
"LAMIACEAE","Hyptis althaeifolia","LC"
"LAMIACEAE","Hyptis angustifolia","EN"
"LAMIACEAE","Hyptis apertiflora","VU"
"LAMIACEAE","Hyptis arenaria","VU"
"LAMIACEAE","Hyptis argyrophylla","EN"
"LAMIACEAE","Hyptis asteroides","DD"
"LAMIACEAE","Hyptis bahiensis","EN"
"LAMIACEAE","Hyptis bombycina","DD"
"LAMIACEAE","Hyptis caduca","DD"
"LAMIACEAE","Hyptis caprariifolia","EN"
"LAMIACEAE","Hyptis carvalhoi","VU"
"LAMIACEAE","Hyptis colligata","EN"
"LAMIACEAE","Hyptis coriacea","DD"
"LAMIACEAE","Hyptis cruciformis","EN"
"LAMIACEAE","Hyptis cuniloides","VU"
"LAMIACEAE","Hyptis delicatula","EN"
"LAMIACEAE","Hyptis dictyodea","VU"
"LAMIACEAE","Hyptis digitata","EN"
"LAMIACEAE","Hyptis eriophylla","LC"
"LAMIACEAE","Hyptis fallax","LC"
"LAMIACEAE","Hyptis frondosa","VU"
"LAMIACEAE","Hyptis hagei","VU"
"LAMIACEAE","Hyptis halimifolia","EN"
"LAMIACEAE","Hyptis hamatidens","VU"
"LAMIACEAE","Hyptis heterophylla","DD"
"LAMIACEAE","Hyptis humilis","EN"
"LAMIACEAE","Hyptis imbricatiformis","EN"
"LAMIACEAE","Hyptis irwinii","NT"
"LAMIACEAE","Hyptis lagenaria","LC"
"LAMIACEAE","Hyptis loeseneriana","DD"
"LAMIACEAE","Hyptis lutescens","LC"
"LAMIACEAE","Hyptis nivea","EN"
"LAMIACEAE","Hyptis nubicola","EN"
"LAMIACEAE","Hyptis pachyphylla","VU"
"LAMIACEAE","Hyptis paludosa","LC"
"LAMIACEAE","Hyptis penaeoides","EN"
"LAMIACEAE","Hyptis pinheiroi","EN"
"LAMIACEAE","Hyptis piranii","CR"
"LAMIACEAE","Hyptis rhypidiophylla","EN"
"LAMIACEAE","Hyptis sancti-gabrielii","EN"
"LAMIACEAE","Hyptis silvinae","EN"
"LAMIACEAE","Hyptis simulans","LC"
"LAMIACEAE","Hyptis stachydifolia","NT"
"LAMIACEAE","Hyptis tagetifolia","EN"
"LAMIACEAE","Hyptis tenuifolia","NT"
"LAMIACEAE","Hyptis tetracephala","DD"
"LAMIACEAE","Hyptis tricephala","DD"
"LAMIACEAE","Hyptis viatica","EN"
"LAMIACEAE","Ocimum nudicaule","LC"
"LAMIACEAE","Ocimum ovatum","LC"
"LAMIACEAE","Salvia congestiflora","NT"
