"family_name","species","category"
"LAURACEAE","Aiouea acarodomatifera","LC"
"LAURACEAE","Aiouea benthamiana","EN"
"LAURACEAE","Aiouea bracteata","VU"
"LAURACEAE","Aiouea lehmannii","EN"
"LAURACEAE","Aiouea macedoana","DD"
"LAURACEAE","Aiouea piauhyensis","LC"
"LAURACEAE","Aiouea trinervis","LC"
"LAURACEAE","Aniba ferrea","VU"
"LAURACEAE","Aniba heringeri","LC"
"LAURACEAE","Aniba intermedia","NT"
"LAURACEAE","Aniba pedicellata","DD"
"LAURACEAE","Aniba rosaeodora","EN"
"LAURACEAE","Aniba santalodora","VU"
"LAURACEAE","Beilschmiedia linharensis","NT"
"LAURACEAE","Beilschmiedia rigida","EN"
"LAURACEAE","Cinnamomum erythropus","EN"
"LAURACEAE","Cinnamomum hatschbachii","VU"
"LAURACEAE","Cinnamomum haussknechtii","LC"
"LAURACEAE","Cinnamomum quadrangulum","VU"
"LAURACEAE","Cinnamomum stenophyllum","LC"
"LAURACEAE","Cinnamomum taubertianum","DD"
"LAURACEAE","Cinnamomum tomentulosum","NT"
"LAURACEAE","Cinnamomum triplinerve","LC"
"LAURACEAE","Dicypellium caryophyllaceum","CR"
"LAURACEAE","Mezilaurus crassiramea","NT"
"LAURACEAE","Mezilaurus itauba","VU"
"LAURACEAE","Mezilaurus navalium","EN"
"LAURACEAE","Nectandra angustifolia","LC"
"LAURACEAE","Nectandra barbellata","VU"
"LAURACEAE","Nectandra cissiflora","LC"
"LAURACEAE","Nectandra debilis","DD"
"LAURACEAE","Nectandra embirensis","DD"
"LAURACEAE","Nectandra grandiflora","LC"
"LAURACEAE","Nectandra grisea","VU"
"LAURACEAE","Nectandra hihua","LC"
"LAURACEAE","Nectandra impressa","DD"
"LAURACEAE","Nectandra japurensis","DD"
"LAURACEAE","Nectandra matogrossensis","DD"
"LAURACEAE","Nectandra micranthera","NT"
"LAURACEAE","Nectandra paranaensis","VU"
"LAURACEAE","Nectandra psammophila","LC"
"LAURACEAE","Nectandra spicata","DD"
"LAURACEAE","Nectandra venulosa","DD"
"LAURACEAE","Nectandra warmingii","NT"
"LAURACEAE","Nectandra weddellii","DD"
"LAURACEAE","Ocotea aciphylla","NT"
"LAURACEAE","Ocotea basicordatifolia","EN"
"LAURACEAE","Ocotea beulahiae","EN"
"LAURACEAE","Ocotea beyrichii","VU"
"LAURACEAE","Ocotea bicolor","LC"
"LAURACEAE","Ocotea bragai","EN"
"LAURACEAE","Ocotea catharinensis","VU"
"LAURACEAE","Ocotea confertiflora","VU"
"LAURACEAE","Ocotea cryptocarpa","EN"
"LAURACEAE","Ocotea curucutuensis","NT"
"LAURACEAE","Ocotea cymbarum","NT"
"LAURACEAE","Ocotea daphnifolia","LC"
"LAURACEAE","Ocotea felix","EN"
"LAURACEAE","Ocotea frondosa","NT"
"LAURACEAE","Ocotea lancifolia","LC"
"LAURACEAE","Ocotea langsdorffii","NT"
"LAURACEAE","Ocotea laxa","LC"
"LAURACEAE","Ocotea lobbii","LC"
"LAURACEAE","Ocotea mosenii","VU"
"LAURACEAE","Ocotea nectandrifolia","LC"
"LAURACEAE","Ocotea nunesiana","LC"
"LAURACEAE","Ocotea odorifera","EN"
"LAURACEAE","Ocotea percoriacea","LC"
"LAURACEAE","Ocotea polyantha","NT"
"LAURACEAE","Ocotea pomaderroides","LC"
"LAURACEAE","Ocotea porosa","EN"
"LAURACEAE","Ocotea puberula","NT"
"LAURACEAE","Ocotea pulchella","LC"
"LAURACEAE","Ocotea serrana","EN"
"LAURACEAE","Ocotea silvestris","LC"
"LAURACEAE","Ocotea tabacifolia","EN"
"LAURACEAE","Ocotea tristis","LC"
"LAURACEAE","Ocotea vaccinioides","LC"
"LAURACEAE","Persea glabra","CR"
"LAURACEAE","Persea obovata","CR"
"LAURACEAE","Persea pedunculosa","EN"
"LAURACEAE","Persea punctata","DD"
"LAURACEAE","Persea rigida","DD"
"LAURACEAE","Persea rufotomentosa","NT"
"LAURACEAE","Persea willdenovii","LC"
"LAURACEAE","Phyllostemonodaphne geminiflora","LC"
"LAURACEAE","Rhodostemonodaphne capixabensis","EN"
"LAURACEAE","Rhodostemonodaphne parvifolia","CR"
"LAURACEAE","Rhodostemonodaphne recurva","EN"
"LAURACEAE","Urbanodendron bahiense","VU"
"LAURACEAE","Urbanodendron macrophyllum","DD"
"LAURACEAE","Urbanodendron verrucosum","LC"
"LAURACEAE","Williamodendron cinnamomeum","CR"
