"family_name","species","category"
"LECYTHIDACEAE","Allantoma integrifolia","DD"
"LECYTHIDACEAE","Allantoma kuhlmannii","DD"
"LECYTHIDACEAE","Allantoma pachyantha","LC"
"LECYTHIDACEAE","Allantoma pauciramosa","DD"
"LECYTHIDACEAE","Allantoma uaupensis","DD"
"LECYTHIDACEAE","Asteranthos brasiliensis","LC"
"LECYTHIDACEAE","Bertholletia excelsa","VU"
"LECYTHIDACEAE","Cariniana ianeirensis","EN"
"LECYTHIDACEAE","Cariniana legalis","EN"
"LECYTHIDACEAE","Cariniana parvifolia","EN"
"LECYTHIDACEAE","Cariniana penduliflora","DD"
"LECYTHIDACEAE","Couratari asterotricha","EN"
"LECYTHIDACEAE","Couratari atrovinosa","LC"
"LECYTHIDACEAE","Couratari guianensis","LC"
"LECYTHIDACEAE","Couratari longipedicellata","DD"
"LECYTHIDACEAE","Couratari prancei","DD"
"LECYTHIDACEAE","Couratari pyramidata","EN"
"LECYTHIDACEAE","Couratari tauari","LC"
"LECYTHIDACEAE","Couroupita guianensis","LC"
"LECYTHIDACEAE","Eschweilera alvimii","EN"
"LECYTHIDACEAE","Eschweilera amazoniciformis","DD"
"LECYTHIDACEAE","Eschweilera atropetiolata","LC"
"LECYTHIDACEAE","Eschweilera carinata","LC"
"LECYTHIDACEAE","Eschweilera compressa","EN"
"LECYTHIDACEAE","Eschweilera cyathiformis","LC"
"LECYTHIDACEAE","Eschweilera obversa","LC"
"LECYTHIDACEAE","Eschweilera piresii","LC"
"LECYTHIDACEAE","Eschweilera punctata","LC"
"LECYTHIDACEAE","Eschweilera rabeliana","DD"
"LECYTHIDACEAE","Eschweilera rhododendrifolia","LC"
"LECYTHIDACEAE","Eschweilera rionegrense","LC"
"LECYTHIDACEAE","Eschweilera roraimensis","LC"
"LECYTHIDACEAE","Eschweilera subcordata","EN"
"LECYTHIDACEAE","Eschweilera tetrapetala","EN"
"LECYTHIDACEAE","Eschweilera truncata","LC"
"LECYTHIDACEAE","Gustavia acuminata","LC"
"LECYTHIDACEAE","Gustavia erythrocarpa","DD"
"LECYTHIDACEAE","Gustavia longepetiolata","DD"
"LECYTHIDACEAE","Lecythis barnebyi","DD"
"LECYTHIDACEAE","Lecythis brancoensis","LC"
"LECYTHIDACEAE","Lecythis lanceolata","LC"
"LECYTHIDACEAE","Lecythis lurida","LC"
"LECYTHIDACEAE","Lecythis parvifructa","LC"
"LECYTHIDACEAE","Lecythis prancei","LC"
"LECYTHIDACEAE","Lecythis retusa","LC"
"LECYTHIDACEAE","Lecythis schomburgkii","LC"
"LECYTHIDACEAE","Lecythis schwackei","EN"
"LECYTHIDACEAE","Lecythis serrata","LC"
