"family_name","species","category"
"LENTIBULARIACEAE","Genlisea aurea","LC"
"LENTIBULARIACEAE","Genlisea filiformis","LC"
"LENTIBULARIACEAE","Genlisea lobata","EN"
"LENTIBULARIACEAE","Genlisea repens","LC"
"LENTIBULARIACEAE","Genlisea violacea","LC"
"LENTIBULARIACEAE","Utricularia biovularioides","DD"
"LENTIBULARIACEAE","Utricularia erectiflora","LC"
"LENTIBULARIACEAE","Utricularia flaccida","NT"
"LENTIBULARIACEAE","Utricularia foliosa","LC"
"LENTIBULARIACEAE","Utricularia huntii","DD"
"LENTIBULARIACEAE","Utricularia hydrocarpa","LC"
"LENTIBULARIACEAE","Utricularia longifolia","LC"
"LENTIBULARIACEAE","Utricularia nigrescens","LC"
"LENTIBULARIACEAE","Utricularia trichophylla","LC"
"LENTIBULARIACEAE","Utricularia tridentata","VU"
"LENTIBULARIACEAE","Utricularia warmingii","DD"
