"family_name","species","category"
"LOGANIACEAE","Spigelia aceifolia","EN"
"LOGANIACEAE","Spigelia amplexicaulis","EN"
"LOGANIACEAE","Spigelia cipoensis","CR"
"LOGANIACEAE","Spigelia flava","VU"
"LOGANIACEAE","Spigelia kleinii","DD"
"LOGANIACEAE","Spigelia kuhlmannii","EN"
"LOGANIACEAE","Spigelia lundiana","EN"
"LOGANIACEAE","Spigelia reitzii","EN"
"LOGANIACEAE","Spigelia sellowiana","LC"
"LOGANIACEAE","Spigelia vestita","EN"
"LOGANIACEAE","Strychnos bicolor","LC"
"LOGANIACEAE","Strychnos cerradoensis","DD"
"LOGANIACEAE","Strychnos gardneri","LC"
"LOGANIACEAE","Strychnos nigricans","LC"
"LOGANIACEAE","Strychnos rubiginosa","LC"
"LOGANIACEAE","Strychnos trinervis","LC"
