"family_name","species","category"
"LYCOPODIACEAE","Huperzia aqualupiana","EN"
"LYCOPODIACEAE","Huperzia biformis","LC"
"LYCOPODIACEAE","Huperzia catharinae","DD"
"LYCOPODIACEAE","Huperzia christii","EN"
"LYCOPODIACEAE","Huperzia flexibilis","LC"
"LYCOPODIACEAE","Huperzia fontinaloides","LC"
"LYCOPODIACEAE","Huperzia hemleri","CR"
"LYCOPODIACEAE","Huperzia hexasticha","LC"
"LYCOPODIACEAE","Huperzia itambensis","EN"
"LYCOPODIACEAE","Huperzia martii","EN"
"LYCOPODIACEAE","Huperzia mollicoma","EN"
"LYCOPODIACEAE","Huperzia mooreana","EN"
"LYCOPODIACEAE","Huperzia nuda","EN"
"LYCOPODIACEAE","Huperzia quadrifariata","LC"
"LYCOPODIACEAE","Huperzia regnellii","CR"
"LYCOPODIACEAE","Huperzia rubra","CR"
"LYCOPODIACEAE","Huperzia sellowiana","VU"
"LYCOPODIACEAE","Huperzia taxifolia","EN"
"LYCOPODIACEAE","Huperzia treitubensis","CR"
"LYCOPODIACEAE","Lycopodiella benjaminiana","EN"
"LYCOPODIACEAE","Lycopodiella bradei","EN"
"LYCOPODIACEAE","Lycopodium jussiaei","EN"
