"family_name","species","category"
"LYTHRACEAE","Cuphea acinifolia","LC"
"LYTHRACEAE","Cuphea adenophylla","CR"
"LYTHRACEAE","Cuphea anamariae","DD"
"LYTHRACEAE","Cuphea aperta","LC"
"LYTHRACEAE","Cuphea arenarioides","VU"
"LYTHRACEAE","Cuphea bahiensis","EN"
"LYTHRACEAE","Cuphea cipoensis","EN"
"LYTHRACEAE","Cuphea cuiabensis","EN"
"LYTHRACEAE","Cuphea cunninghamiifolia","EN"
"LYTHRACEAE","Cuphea disperma","LC"
"LYTHRACEAE","Cuphea fuchsiifolia","EN"
"LYTHRACEAE","Cuphea glareosa","NT"
"LYTHRACEAE","Cuphea glaziovii","EN"
"LYTHRACEAE","Cuphea linarioides","LC"
"LYTHRACEAE","Cuphea lindmaniana","EN"
"LYTHRACEAE","Cuphea lucens","DD"
"LYTHRACEAE","Cuphea lutescens","LC"
"LYTHRACEAE","Cuphea melvilla","LC"
"LYTHRACEAE","Cuphea potamophila","DD"
"LYTHRACEAE","Cuphea repens","LC"
"LYTHRACEAE","Cuphea rubro-virens","CR"
"LYTHRACEAE","Cuphea sclerophylla","VU"
"LYTHRACEAE","Cuphea sincorana","DD"
"LYTHRACEAE","Cuphea teleandra","CR"
"LYTHRACEAE","Cuphea warmingii","DD"
"LYTHRACEAE","Cuphea xanthopetala","DD"
"LYTHRACEAE","Diplusodon adpressipilus","EN"
"LYTHRACEAE","Diplusodon aggregatifolius","EN"
"LYTHRACEAE","Diplusodon alatus","EN"
"LYTHRACEAE","Diplusodon appendiculosus","DD"
"LYTHRACEAE","Diplusodon argenteus","EN"
"LYTHRACEAE","Diplusodon argyrophyllus","CR"
"LYTHRACEAE","Diplusodon bradei","VU"
"LYTHRACEAE","Diplusodon canastrensis","EN"
"LYTHRACEAE","Diplusodon capitalensis","EN"
"LYTHRACEAE","Diplusodon capitatus","CR"
"LYTHRACEAE","Diplusodon chapadensis","DD"
"LYTHRACEAE","Diplusodon decussatus","EN"
"LYTHRACEAE","Diplusodon ericoides","CR"
"LYTHRACEAE","Diplusodon floribundus","EN"
"LYTHRACEAE","Diplusodon glaziovii","CR"
"LYTHRACEAE","Diplusodon glocimarii","EN"
"LYTHRACEAE","Diplusodon gracilis","CR"
"LYTHRACEAE","Diplusodon grahamae","DD"
"LYTHRACEAE","Diplusodon hatschbachii","VU"
"LYTHRACEAE","Diplusodon heringeri","EN"
"LYTHRACEAE","Diplusodon kielmeyeroides","DD"
"LYTHRACEAE","Diplusodon leucocalycinus","VU"
"LYTHRACEAE","Diplusodon longipes","EN"
"LYTHRACEAE","Diplusodon mattogrossensis","EN"
"LYTHRACEAE","Diplusodon minasensis","EN"
"LYTHRACEAE","Diplusodon mononeuros","DD"
"LYTHRACEAE","Diplusodon nigricans","DD"
"LYTHRACEAE","Diplusodon orbicularis","VU"
"LYTHRACEAE","Diplusodon ovatus","EN"
"LYTHRACEAE","Diplusodon panniculatus","CR"
"LYTHRACEAE","Diplusodon parvifolius","NT"
"LYTHRACEAE","Diplusodon petiolatus","EN"
"LYTHRACEAE","Diplusodon plumbeus","EN"
"LYTHRACEAE","Diplusodon pygmaeus","DD"
"LYTHRACEAE","Diplusodon retroimbricatus","CR"
"LYTHRACEAE","Diplusodon rosmarinifolius","LC"
"LYTHRACEAE","Diplusodon rotundifolius","EN"
"LYTHRACEAE","Diplusodon rupestris","DD"
"LYTHRACEAE","Diplusodon saxatilis","DD"
"LYTHRACEAE","Diplusodon sigillatus","EN"
"LYTHRACEAE","Diplusodon sordidus","EN"
"LYTHRACEAE","Diplusodon thysanosepalus","DD"
"LYTHRACEAE","Diplusodon trigintus","EN"
"LYTHRACEAE","Diplusodon vidalii","DD"
"LYTHRACEAE","Diplusodon villosissimus","VU"
"LYTHRACEAE","Lafoensia nummularifolia","VU"
"LYTHRACEAE","Lafoensia pacari","LC"
"LYTHRACEAE","Lafoensia vandelliana","DD"
"LYTHRACEAE","Physocalymma scaberrimum","LC"
