"family_name","species","category"
"MALPIGHIACEAE","Acmanthera fernandesii","DD"
"MALPIGHIACEAE","Amorimia velutina","DD"
"MALPIGHIACEAE","Aspicarpa harleyi","NT"
"MALPIGHIACEAE","Banisteriopsis andersonii","VU"
"MALPIGHIACEAE","Banisteriopsis arborea","VU"
"MALPIGHIACEAE","Banisteriopsis basifixa","VU"
"MALPIGHIACEAE","Banisteriopsis byssacea","VU"
"MALPIGHIACEAE","Banisteriopsis cipoensis","EN"
"MALPIGHIACEAE","Banisteriopsis goiana","VU"
"MALPIGHIACEAE","Banisteriopsis hatschbachii","EN"
"MALPIGHIACEAE","Banisteriopsis hirsuta","EN"
"MALPIGHIACEAE","Banisteriopsis magdalenensis","EN"
"MALPIGHIACEAE","Banisteriopsis parviflora","NT"
"MALPIGHIACEAE","Banisteriopsis pseudojanusia","CR"
"MALPIGHIACEAE","Banisteriopsis salicifolia","DD"
"MALPIGHIACEAE","Banisteriopsis sellowiana","VU"
"MALPIGHIACEAE","Barnebya dispar","NT"
"MALPIGHIACEAE","Bunchosia acuminata","NT"
"MALPIGHIACEAE","Bunchosia itacarensis","CR"
"MALPIGHIACEAE","Bunchosia macilenta","VU"
"MALPIGHIACEAE","Bunchosia maritima","LC"
"MALPIGHIACEAE","Bunchosia pallescens","LC"
"MALPIGHIACEAE","Bunchosia pernambucana","EN"
"MALPIGHIACEAE","Byrsonima alvimii","VU"
"MALPIGHIACEAE","Byrsonima bahiana","NT"
"MALPIGHIACEAE","Byrsonima blanchetiana","LC"
"MALPIGHIACEAE","Byrsonima brachybotrya","VU"
"MALPIGHIACEAE","Byrsonima cacaophila","NT"
"MALPIGHIACEAE","Byrsonima cipoensis","EN"
"MALPIGHIACEAE","Byrsonima coccolobifolia","LC"
"MALPIGHIACEAE","Byrsonima cordifolia","EN"
"MALPIGHIACEAE","Byrsonima fonsecae","CR"
"MALPIGHIACEAE","Byrsonima hatschbachii","VU"
"MALPIGHIACEAE","Byrsonima japurensis","LC"
"MALPIGHIACEAE","Byrsonima lanulosa","EN"
"MALPIGHIACEAE","Byrsonima macrophylla","NT"
"MALPIGHIACEAE","Byrsonima microphylla","EN"
"MALPIGHIACEAE","Byrsonima morii","NT"
"MALPIGHIACEAE","Byrsonima onishiana","EN"
"MALPIGHIACEAE","Byrsonima rigida","LC"
"MALPIGHIACEAE","Byrsonima variabilis","LC"
"MALPIGHIACEAE","Camarea affinis","LC"
"MALPIGHIACEAE","Camarea axillaris","LC"
"MALPIGHIACEAE","Camarea elongata","VU"
"MALPIGHIACEAE","Camarea ericoides","LC"
"MALPIGHIACEAE","Camarea hirsuta","LC"
"MALPIGHIACEAE","Camarea humifusa","EN"
"MALPIGHIACEAE","Camarea linearifolia","CR"
"MALPIGHIACEAE","Carolus chlorocarpus","LC"
"MALPIGHIACEAE","Diplopterys amplectens","NT"
"MALPIGHIACEAE","Diplopterys cachimbensis","NT"
"MALPIGHIACEAE","Diplopterys patula","NT"
"MALPIGHIACEAE","Diplopterys sepium","EN"
"MALPIGHIACEAE","Diplopterys virgultosa","LC"
"MALPIGHIACEAE","Heladena multiflora","EN"
"MALPIGHIACEAE","Heteropterys admirabilis","EN"
"MALPIGHIACEAE","Heteropterys aliciae","CR"
"MALPIGHIACEAE","Heteropterys alternifolia","LC"
"MALPIGHIACEAE","Heteropterys bahiensis","CR"
"MALPIGHIACEAE","Heteropterys bicolor","LC"
"MALPIGHIACEAE","Heteropterys brasiliensis","EN"
"MALPIGHIACEAE","Heteropterys bullata","EN"
"MALPIGHIACEAE","Heteropterys capixaba","EN"
"MALPIGHIACEAE","Heteropterys conformis","CR"
"MALPIGHIACEAE","Heteropterys crinigera","VU"
"MALPIGHIACEAE","Heteropterys dusenii","VU"
"MALPIGHIACEAE","Heteropterys fragilis","EN"
"MALPIGHIACEAE","Heteropterys hatschbachii","CR"
"MALPIGHIACEAE","Heteropterys marginata","EN"
"MALPIGHIACEAE","Heteropterys megaptera","EN"
"MALPIGHIACEAE","Heteropterys oberdanii","VU"
"MALPIGHIACEAE","Heteropterys occhionii","CR"
"MALPIGHIACEAE","Heteropterys patens","NT"
"MALPIGHIACEAE","Heteropterys pauciflora","LC"
"MALPIGHIACEAE","Heteropterys perplexa","LC"
"MALPIGHIACEAE","Heteropterys sanctorum","CR"
"MALPIGHIACEAE","Heteropterys ternstroemiifolia","EN"
"MALPIGHIACEAE","Heteropterys thyrsoidea","EN"
"MALPIGHIACEAE","Heteropterys trigoniifolia","LC"
"MALPIGHIACEAE","Hiraea bullata","VU"
"MALPIGHIACEAE","Hiraea cuiabensis","LC"
"MALPIGHIACEAE","Hiraea cuneata","LC"
"MALPIGHIACEAE","Hiraea wiedeana","EN"
"MALPIGHIACEAE","Janusia christianeae","EN"
"MALPIGHIACEAE","Janusia occhionii","EN"
"MALPIGHIACEAE","Janusia schwannioides","EN"
"MALPIGHIACEAE","Lophopterys floribunda","LC"
"MALPIGHIACEAE","Mascagnia aptera","CR"
"MALPIGHIACEAE","Mezia araujoi","EN"
"MALPIGHIACEAE","Niedenzuella poeppigiana","LC"
"MALPIGHIACEAE","Peixotoa adenopoda","EN"
"MALPIGHIACEAE","Peixotoa anadenanthera","CR"
"MALPIGHIACEAE","Peixotoa andersonii","CR"
"MALPIGHIACEAE","Peixotoa axillaris","CR"
"MALPIGHIACEAE","Peixotoa bahiana","CR"
"MALPIGHIACEAE","Peixotoa barnebyi","EN"
"MALPIGHIACEAE","Peixotoa catarinensis","EN"
