"family_name","species","category"
"MALVACEAE","Abutilon anodoides","CR"
"MALVACEAE","Abutilon costicalyx","LC"
"MALVACEAE","Abutilon monteiroi","DD"
"MALVACEAE","Abutilon nigricans","CR"
"MALVACEAE","Abutilon venosum","DD"
"MALVACEAE","Akrosida macrophylla","DD"
"MALVACEAE","Byttneria catalpifolia","LC"
"MALVACEAE","Byttneria implacabilis","DD"
"MALVACEAE","Byttneria oblongata","LC"
"MALVACEAE","Byttneria scabra","LC"
"MALVACEAE","Calyculogygas uruguayensis","EN"
"MALVACEAE","Calyptraemalva catharinensis","EN"
"MALVACEAE","Cavanillesia umbellata","LC"
"MALVACEAE","Ceiba jasminodora","LC"
"MALVACEAE","Cienfuegosia drummondii","DD"
"MALVACEAE","Cienfuegosia sulfurea","DD"
"MALVACEAE","Eriotheca pubescens","LC"
"MALVACEAE","Gaya domingensis","LC"
"MALVACEAE","Gaya guerkeana","LC"
"MALVACEAE","Gaya pilosa","LC"
"MALVACEAE","Herissantia nemoralis","LC"
"MALVACEAE","Hibiscus bifurcatus","LC"
"MALVACEAE","Hibiscus diversifolius","LC"
"MALVACEAE","Hibiscus furcellatus","LC"
"MALVACEAE","Hibiscus sororius","LC"
"MALVACEAE","Hochreutinera hasslerana","EN"
"MALVACEAE","Krapovickasia urticifolia","LC"
"MALVACEAE","Luehea candicans","LC"
"MALVACEAE","Luehea conwentzii","LC"
"MALVACEAE","Malachra radiata","LC"
"MALVACEAE","Malvastrum americanum","LC"
"MALVACEAE","Monteiroa bullata","LC"
"MALVACEAE","Monteiroa ptarmicifolia","LC"
"MALVACEAE","Monteiroa smithii","EN"
"MALVACEAE","Pavonia almasana","EN"
"MALVACEAE","Pavonia alnifolia","DD"
"MALVACEAE","Pavonia biflora","LC"
"MALVACEAE","Pavonia distinguenda","LC"
"MALVACEAE","Pavonia garckeana","LC"
"MALVACEAE","Pavonia grazielae","VU"
"MALVACEAE","Pavonia hastata","LC"
"MALVACEAE","Pavonia hatschbachii","EN"
"MALVACEAE","Pavonia hexaphylla","LC"
"MALVACEAE","Pavonia kleinii","DD"
"MALVACEAE","Pavonia lanata","LC"
"MALVACEAE","Pavonia multiflora","LC"
"MALVACEAE","Pavonia reticulata","LC"
"MALVACEAE","Pavonia spiciformis","EN"
"MALVACEAE","Pavonia tricalycaris","DD"
"MALVACEAE","Pseudobombax grandiflorum","LC"
"MALVACEAE","Pseudobombax marginatum","LC"
"MALVACEAE","Pseudobombax tomentosum","LC"
"MALVACEAE","Rhynchosida physocalyx","DD"
"MALVACEAE","Sida rufescens","LC"
"MALVACEAE","Spirotheca rivieri","LC"
"MALVACEAE","Triumfetta grandiflora","LC"
"MALVACEAE","Waltheria communis","LC"
