"family_name","species","category"
"MARANTACEAE","Calathea aemula","NT"
"MARANTACEAE","Calathea bella","DD"
"MARANTACEAE","Calathea brasiliensis","LC"
"MARANTACEAE","Calathea cylindrica","LC"
"MARANTACEAE","Calathea fatimae","DD"
"MARANTACEAE","Calathea longibracteata","LC"
"MARANTACEAE","Calathea monophylla","LC"
"MARANTACEAE","Calathea sciuroides","LC"
"MARANTACEAE","Calathea singularis","DD"
"MARANTACEAE","Calathea tuberosa","EN"
"MARANTACEAE","Calathea widgrenii","EN"
"MARANTACEAE","Calathea wiotii","DD"
"MARANTACEAE","Calathea zebrina","LC"
"MARANTACEAE","Ischnosiphon gracilis","LC"
"MARANTACEAE","Ischnosiphon ovatus","EN"
"MARANTACEAE","Maranta bicolor","LC"
"MARANTACEAE","Maranta subterranea","VU"
"MARANTACEAE","Maranta zingiberina","LC"
"MARANTACEAE","Monotagma plurispicatum","LC"
"MARANTACEAE","Saranthe composita","VU"
"MARANTACEAE","Saranthe klotzschiana","LC"
"MARANTACEAE","Stromanthe porteana","LC"
"MARANTACEAE","Stromanthe schottiana","LC"
"MARANTACEAE","Thalia multiflora","DD"
