"family_name","species","category"
"MELASTOMATACEAE","Bertolonia angustifolia","CR"
"MELASTOMATACEAE","Bertolonia formosa","CR"
"MELASTOMATACEAE","Bertolonia foveolata","EN"
"MELASTOMATACEAE","Bertolonia hoehneana","CR"
"MELASTOMATACEAE","Bertolonia leuzeana","EN"
"MELASTOMATACEAE","Bertolonia paranaensis","EN"
"MELASTOMATACEAE","Cambessedesia atropurpurea","VU"
"MELASTOMATACEAE","Cambessedesia cambessedesioides","VU"
"MELASTOMATACEAE","Cambessedesia eichleri","LC"
"MELASTOMATACEAE","Cambessedesia glaziovii","DD"
"MELASTOMATACEAE","Cambessedesia gracilis","EN"
"MELASTOMATACEAE","Cambessedesia hermogenesii","EN"
"MELASTOMATACEAE","Cambessedesia hilariana","LC"
"MELASTOMATACEAE","Cambessedesia pityrophylla","EN"
"MELASTOMATACEAE","Cambessedesia salviifolia","EN"
"MELASTOMATACEAE","Cambessedesia semidecandra","VU"
"MELASTOMATACEAE","Cambessedesia striatella","DD"
"MELASTOMATACEAE","Cambessedesia weddellii","VU"
"MELASTOMATACEAE","Cambessedesia wurdackii","VU"
"MELASTOMATACEAE","Chaetostoma cupressimum","DD"
"MELASTOMATACEAE","Chaetostoma fastigiatum","NT"
"MELASTOMATACEAE","Chaetostoma flavum","VU"
"MELASTOMATACEAE","Chaetostoma inerme","CR"
"MELASTOMATACEAE","Chaetostoma scoparium","EN"
"MELASTOMATACEAE","Chaetostoma selagineum","LC"
"MELASTOMATACEAE","Chaetostoma stenocladon","NT"
"MELASTOMATACEAE","Clidemia capilliflora","LC"
"MELASTOMATACEAE","Clidemia rubra","LC"
"MELASTOMATACEAE","Comolia edmundoi","EN"
"MELASTOMATACEAE","Dolichoura spiritusanctensis","NT"
"MELASTOMATACEAE","Eriocnema acaulis","EN"
"MELASTOMATACEAE","Eriocnema fulva","VU"
"MELASTOMATACEAE","Fritzschia anisostemon","DD"
"MELASTOMATACEAE","Fritzschia integrifolia","DD"
"MELASTOMATACEAE","Henriettea gomesii","DD"
"MELASTOMATACEAE","Huberia carvalhoi","EN"
"MELASTOMATACEAE","Huberia espiritosantensis","VU"
"MELASTOMATACEAE","Huberia laurina","DD"
"MELASTOMATACEAE","Huberia nettoana","NT"
"MELASTOMATACEAE","Huberia pirani","EN"
"MELASTOMATACEAE","Huberia semiserrata","LC"
"MELASTOMATACEAE","Lavoisiera adamantium","EN"
"MELASTOMATACEAE","Lavoisiera angustifolia","CR"
"MELASTOMATACEAE","Lavoisiera bradeana","EN"
"MELASTOMATACEAE","Lavoisiera caryophyllea","EN"
"MELASTOMATACEAE","Lavoisiera cordata","VU"
"MELASTOMATACEAE","Lavoisiera firmula","EN"
"MELASTOMATACEAE","Lavoisiera harleyi","EN"
"MELASTOMATACEAE","Lavoisiera humilis","EN"
"MELASTOMATACEAE","Lavoisiera imbricata","LC"
"MELASTOMATACEAE","Lavoisiera itambana","DD"
"MELASTOMATACEAE","Lavoisiera macrocarpa","NT"
"MELASTOMATACEAE","Lavoisiera mello-barretoi","DD"
"MELASTOMATACEAE","Lavoisiera mucorifera","NT"
"MELASTOMATACEAE","Lavoisiera pulchella","LC"
"MELASTOMATACEAE","Lavoisiera punctata","EN"
"MELASTOMATACEAE","Lavoisiera quinquenervis","DD"
"MELASTOMATACEAE","Lavoisiera rigida","DD"
"MELASTOMATACEAE","Lavoisiera sampaioana","DD"
"MELASTOMATACEAE","Lavoisiera senaei","VU"
"MELASTOMATACEAE","Lavoisiera subulata","VU"
"MELASTOMATACEAE","Lavoisiera tetragona","CR"
"MELASTOMATACEAE","Leandra adenothrix","LC"
"MELASTOMATACEAE","Leandra catharinensis","LC"
"MELASTOMATACEAE","Leandra echinata","LC"
"MELASTOMATACEAE","Leandra hatschbachii","EN"
"MELASTOMATACEAE","Leandra humilis","DD"
"MELASTOMATACEAE","Leandra parvifolia","NT"
"MELASTOMATACEAE","Lithobium cordatum","EN"
"MELASTOMATACEAE","Marcetia alba","CR"
"MELASTOMATACEAE","Marcetia bahiana","EN"
"MELASTOMATACEAE","Marcetia bracteolaris","DD"
"MELASTOMATACEAE","Marcetia formosa","EN"
"MELASTOMATACEAE","Marcetia hatschbachii","EN"
"MELASTOMATACEAE","Marcetia luetzelburgii","EN"
"MELASTOMATACEAE","Marcetia lychnophoroides","EN"
"MELASTOMATACEAE","Marcetia nummularia","EN"
"MELASTOMATACEAE","Marcetia oxycoccoides","EN"
"MELASTOMATACEAE","Marcetia semiriana","EN"
"MELASTOMATACEAE","Marcetia shepherdii","EN"
"MELASTOMATACEAE","Marcetia viscida","VU"
"MELASTOMATACEAE","Meriania callophylla","VU"
"MELASTOMATACEAE","Meriania tetramera","NT"
"MELASTOMATACEAE","Merianthera burlemarxii","EN"
"MELASTOMATACEAE","Merianthera pulchra","VU"
"MELASTOMATACEAE","Miconia amoena","LC"
"MELASTOMATACEAE","Miconia angelana","CR"
"MELASTOMATACEAE","Miconia capixaba","CR"
"MELASTOMATACEAE","Miconia carvalhoana","CR"
"MELASTOMATACEAE","Miconia cipoensis","EN"
"MELASTOMATACEAE","Miconia doriana","LC"
"MELASTOMATACEAE","Miconia eichleri","LC"
"MELASTOMATACEAE","Miconia fasciculata","LC"
"MELASTOMATACEAE","Miconia glazioviana","VU"
"MELASTOMATACEAE","Miconia johnwurdackiana","EN"
"MELASTOMATACEAE","Miconia longicuspis","NT"
"MELASTOMATACEAE","Miconia mendoncae","VU"
"MELASTOMATACEAE","Miconia octopetala","LC"
