"family_name","species","category"
"MELIACEAE","Cedrela fissilis","VU"
"MELIACEAE","Cedrela lilloi","EN"
"MELIACEAE","Cedrela odorata","VU"
"MELIACEAE","Guarea convergens","LC"
"MELIACEAE","Guarea crispa","DD"
"MELIACEAE","Guarea cristata","DD"
"MELIACEAE","Guarea humaitensis","LC"
"MELIACEAE","Guarea juglandiformis","LC"
"MELIACEAE","Guarea sprucei","DD"
"MELIACEAE","Guarea trunciflora","LC"
"MELIACEAE","Guarea velutina","LC"
"MELIACEAE","Guarea venenata","LC"
"MELIACEAE","Swietenia macrophylla","VU"
"MELIACEAE","Trichilia areolata","LC"
"MELIACEAE","Trichilia blanchetii","VU"
"MELIACEAE","Trichilia bullata","LC"
"MELIACEAE","Trichilia casaretti","LC"
"MELIACEAE","Trichilia elsae","LC"
"MELIACEAE","Trichilia emarginata","LC"
"MELIACEAE","Trichilia fasciculata","LC"
"MELIACEAE","Trichilia florbranca","CR"
"MELIACEAE","Trichilia hirta","LC"
"MELIACEAE","Trichilia hispida","DD"
"MELIACEAE","Trichilia lecointei","LC"
"MELIACEAE","Trichilia lepidota","LC"
"MELIACEAE","Trichilia magnifoliola","EN"
"MELIACEAE","Trichilia micropetala","EN"
"MELIACEAE","Trichilia pallens","LC"
"MELIACEAE","Trichilia pseudostipularis","NT"
"MELIACEAE","Trichilia ramalhoi","NT"
"MELIACEAE","Trichilia silvatica","LC"
"MELIACEAE","Trichilia solitudinis","LC"
"MELIACEAE","Trichilia stellato-tomentosa","VU"
"MELIACEAE","Trichilia surumuensis","DD"
"MELIACEAE","Trichilia tetrapetala","LC"
