"family_name","species","category"
"MONIMIACEAE","Macropeplus friburgensis","EN"
"MONIMIACEAE","Macropeplus schwackeanus","VU"
"MONIMIACEAE","Macrotorus utriculatus","LC"
"MONIMIACEAE","Mollinedia argyrogyna","LC"
"MONIMIACEAE","Mollinedia blumenaviana","NT"
"MONIMIACEAE","Mollinedia boracensis","NT"
"MONIMIACEAE","Mollinedia engleriana","LC"
"MONIMIACEAE","Mollinedia eugeniifolia","EN"
"MONIMIACEAE","Mollinedia gilgiana","LC"
"MONIMIACEAE","Mollinedia glabra","LC"
"MONIMIACEAE","Mollinedia lamprophylla","NT"
"MONIMIACEAE","Mollinedia longicuspidata","EN"
"MONIMIACEAE","Mollinedia luizae","VU"
"MONIMIACEAE","Mollinedia marqueteana","LC"
"MONIMIACEAE","Mollinedia ovata","LC"
"MONIMIACEAE","Mollinedia pachysandra","LC"
"MONIMIACEAE","Mollinedia salicifolia","NT"
"MONIMIACEAE","Mollinedia stenophylla","NT"
