"family_name","species","category"
"MORACEAE","Brosimum glaucum","NT"
"MORACEAE","Brosimum glaziovii","LC"
"MORACEAE","Brosimum lactescens","LC"
"MORACEAE","Dorstenia albertii","DD"
"MORACEAE","Dorstenia arifolia","LC"
"MORACEAE","Dorstenia bonijesu","LC"
"MORACEAE","Dorstenia brasiliensis","LC"
"MORACEAE","Dorstenia cayapia","LC"
"MORACEAE","Dorstenia conceptionis","EN"
"MORACEAE","Dorstenia contensis","VU"
"MORACEAE","Dorstenia elata","LC"
"MORACEAE","Dorstenia fischeri","DD"
"MORACEAE","Dorstenia gracilis","NT"
"MORACEAE","Dorstenia hildegardis","CR"
"MORACEAE","Dorstenia milaneziana","LC"
"MORACEAE","Dorstenia strangii","CR"
"MORACEAE","Dorstenia sucrei","DD"
"MORACEAE","Dorstenia tenuis","LC"
"MORACEAE","Ficus albert-smithii","LC"
"MORACEAE","Ficus amazonica","LC"
"MORACEAE","Ficus aripuanensis","DD"
"MORACEAE","Ficus blepharophylla","DD"
"MORACEAE","Ficus broadwayi","LC"
"MORACEAE","Ficus calyptroceras","LC"
"MORACEAE","Ficus carautana","EN"
"MORACEAE","Ficus castellviana","LC"
"MORACEAE","Ficus catappifolia","LC"
"MORACEAE","Ficus cyclophylla","VU"
"MORACEAE","Ficus eximia","LC"
"MORACEAE","Ficus greiffiana","NT"
"MORACEAE","Ficus hirsuta","LC"
"MORACEAE","Ficus krukovii","LC"
"MORACEAE","Ficus lauretana","LC"
"MORACEAE","Ficus malacocarpa","DD"
"MORACEAE","Ficus mathewsii","LC"
"MORACEAE","Ficus matiziana","LC"
"MORACEAE","Ficus mexiae","LC"
"MORACEAE","Ficus monckii","LC"
"MORACEAE","Ficus pakkensis","LC"
"MORACEAE","Ficus pulchella","LC"
"MORACEAE","Ficus roraimensis","DD"
"MORACEAE","Ficus salzmanniana","NT"
"MORACEAE","Ficus schippii","DD"
"MORACEAE","Ficus schultesii","DD"
"MORACEAE","Ficus schumacheri","DD"
"MORACEAE","Ficus sphenophylla","NT"
"MORACEAE","Ficus trigonata","LC"
"MORACEAE","Ficus ursina","DD"
"MORACEAE","Ficus velutina","DD"
"MORACEAE","Helicostylis heterotricha","DD"
"MORACEAE","Helicostylis tomentosa","LC"
"MORACEAE","Maclura brasiliensis","EN"
"MORACEAE","Naucleopsis oblongifolia","LC"
"MORACEAE","Perebea rubra","DD"
"MORACEAE","Pseudolmedia hirtula","LC"
"MORACEAE","Sorocea guilleminiana","LC"
