"family_name","species","category"
"MYRTACEAE","Accara elegans","EN"
"MYRTACEAE","Blepharocalyx salicifolius","LC"
"MYRTACEAE","Calycolpus australis","EN"
"MYRTACEAE","Calycolpus legrandii","VU"
"MYRTACEAE","Calyptranthes concinna","LC"
"MYRTACEAE","Calyptranthes dryadica","DD"
"MYRTACEAE","Calyptranthes fusiformis","VU"
"MYRTACEAE","Calyptranthes hatschbachii","EN"
"MYRTACEAE","Calyptranthes pereireana","DD"
"MYRTACEAE","Calyptranthes pileata","VU"
"MYRTACEAE","Calyptranthes restingae","VU"
"MYRTACEAE","Calyptranthes rubella","NT"
"MYRTACEAE","Campomanesia aromatica","LC"
"MYRTACEAE","Campomanesia espiritosantensis","CR"
"MYRTACEAE","Campomanesia eugenioides","LC"
"MYRTACEAE","Campomanesia hirsuta","EN"
"MYRTACEAE","Campomanesia laurifolia","LC"
"MYRTACEAE","Campomanesia lundiana","DD"
"MYRTACEAE","Campomanesia macrobracteolata","VU"
"MYRTACEAE","Campomanesia neriiflora","LC"
"MYRTACEAE","Campomanesia phaea","LC"
"MYRTACEAE","Campomanesia prosthecesepala","EN"
"MYRTACEAE","Campomanesia pubescens","LC"
"MYRTACEAE","Campomanesia reitziana","VU"
"MYRTACEAE","Campomanesia rufa","LC"
"MYRTACEAE","Campomanesia schlechtendaliana","LC"
"MYRTACEAE","Campomanesia sessiliflora","LC"
"MYRTACEAE","Campomanesia viatoris","LC"
"MYRTACEAE","Campomanesia xanthocarpa","LC"
"MYRTACEAE","Eugenia angustissima","LC"
"MYRTACEAE","Eugenia anomala","LC"
"MYRTACEAE","Eugenia arenosa","LC"
"MYRTACEAE","Eugenia aurata","LC"
"MYRTACEAE","Eugenia bahiensis","LC"
"MYRTACEAE","Eugenia blanda","EN"
"MYRTACEAE","Eugenia bocainensis","LC"
"MYRTACEAE","Eugenia brasiliensis","LC"
"MYRTACEAE","Eugenia brevistyla","LC"
"MYRTACEAE","Eugenia brunoi","EN"
"MYRTACEAE","Eugenia bunchosiifolia","VU"
"MYRTACEAE","Eugenia burkartiana","LC"
"MYRTACEAE","Eugenia cerasiflora","LC"
"MYRTACEAE","Eugenia cereja","LC"
"MYRTACEAE","Eugenia copacabanensis","LC"
"MYRTACEAE","Eugenia dimorpha","NT"
"MYRTACEAE","Eugenia disperma","VU"
"MYRTACEAE","Eugenia excelsa","LC"
"MYRTACEAE","Eugenia florida","LC"
"MYRTACEAE","Eugenia gracillima","LC"
"MYRTACEAE","Eugenia hamiltonii","LC"
"MYRTACEAE","Eugenia hermesiana","CR"
"MYRTACEAE","Eugenia hiemalis","LC"
"MYRTACEAE","Eugenia imaruiensis","EN"
"MYRTACEAE","Eugenia itacarensis","EN"
"MYRTACEAE","Eugenia joenssonii","VU"
"MYRTACEAE","Eugenia klotzschiana","LC"
"MYRTACEAE","Eugenia leonorae","EN"
"MYRTACEAE","Eugenia macrobracteolata","EN"
"MYRTACEAE","Eugenia malacantha","EN"
"MYRTACEAE","Eugenia mattosii","EN"
"MYRTACEAE","Eugenia myrciariifolia","EN"
"MYRTACEAE","Eugenia neosericea","EN"
"MYRTACEAE","Eugenia neotristis","EN"
"MYRTACEAE","Eugenia nutans","LC"
"MYRTACEAE","Eugenia oxyoentophylla","EN"
"MYRTACEAE","Eugenia pachyclada","EN"
"MYRTACEAE","Eugenia peruibensis","EN"
"MYRTACEAE","Eugenia pisiformis","LC"
"MYRTACEAE","Eugenia platysema","LC"
"MYRTACEAE","Eugenia pluriflora","LC"
"MYRTACEAE","Eugenia prasina","LC"
"MYRTACEAE","Eugenia pruinosa","EN"
"MYRTACEAE","Eugenia pseudomalacantha","EN"
"MYRTACEAE","Eugenia reitziana","EN"
"MYRTACEAE","Eugenia rotundicosta","CR"
"MYRTACEAE","Eugenia sclerocalyx","VU"
"MYRTACEAE","Eugenia subterminalis","LC"
"MYRTACEAE","Eugenia vattimoana","VU"
"MYRTACEAE","Eugenia villaenovae","EN"
"MYRTACEAE","Gomidesia cambessedeana","CR"
"MYRTACEAE","Marlierea krapovickae","EN"
"MYRTACEAE","Marlierea lealcostae","CR"
"MYRTACEAE","Marlierea regeliana","LC"
"MYRTACEAE","Marlierea reitzii","LC"
"MYRTACEAE","Marlierea skortzoviana","CR"
"MYRTACEAE","Marlierea suaveolens","LC"
"MYRTACEAE","Marlierea sucrei","NT"
"MYRTACEAE","Myrceugenia alpigena","LC"
"MYRTACEAE","Myrceugenia bracteosa","EN"
"MYRTACEAE","Myrceugenia brevipedicellata","EN"
"MYRTACEAE","Myrceugenia campestris","LC"
"MYRTACEAE","Myrceugenia foveolata","EN"
"MYRTACEAE","Myrceugenia franciscensis","EN"
"MYRTACEAE","Myrceugenia gertii","EN"
"MYRTACEAE","Myrceugenia glaucescens","LC"
"MYRTACEAE","Myrceugenia hatschbachii","VU"
"MYRTACEAE","Myrceugenia hoehnei","VU"
"MYRTACEAE","Myrceugenia kleinii","VU"
"MYRTACEAE","Myrceugenia miersiana","LC"
"MYRTACEAE","Myrceugenia myrcioides","LC"
"MYRTACEAE","Myrceugenia oxysepala","LC"
"MYRTACEAE","Myrceugenia pilotantha","LC"
"MYRTACEAE","Myrceugenia reitzii","NT"
"MYRTACEAE","Myrceugenia rufescens","LC"
"MYRTACEAE","Myrceugenia scutellata","NT"
"MYRTACEAE","Myrceugenia smithii","EN"
"MYRTACEAE","Myrceugenia venosa","LC"
"MYRTACEAE","Myrcia almasensis","EN"
"MYRTACEAE","Myrcia cordiifolia","LC"
"MYRTACEAE","Myrcia diaphana","VU"
"MYRTACEAE","Myrcia dichrophylla","LC"
"MYRTACEAE","Myrcia eriopus","LC"
"MYRTACEAE","Myrcia flagellaris","NT"
"MYRTACEAE","Myrcia follii","CR"
"MYRTACEAE","Myrcia gilsoniana","CR"
"MYRTACEAE","Myrcia guianensis","LC"
"MYRTACEAE","Myrcia heringii","LC"
"MYRTACEAE","Myrcia hexasticha","EN"
"MYRTACEAE","Myrcia insularis","LC"
"MYRTACEAE","Myrcia isaiana","EN"
"MYRTACEAE","Myrcia limae","EN"
"MYRTACEAE","Myrcia lineata","EN"
"MYRTACEAE","Myrcia magnifolia","CR"
"MYRTACEAE","Myrcia oblongata","LC"
"MYRTACEAE","Myrcia obovata","LC"
"MYRTACEAE","Myrcia ovata","LC"
"MYRTACEAE","Myrcia plusiantha","NT"
"MYRTACEAE","Myrcia pubipetala","LC"
"MYRTACEAE","Myrcia pulchra","LC"
"MYRTACEAE","Myrcia riodocensis","CR"
"MYRTACEAE","Myrcia rupicola","EN"
"MYRTACEAE","Myrcia tijucensis","LC"
"MYRTACEAE","Myrcia undulata","LC"
"MYRTACEAE","Myrcia variabilis","LC"
"MYRTACEAE","Myrcia venulosa","LC"
"MYRTACEAE","Myrcianthes cisplatensis","LC"
"MYRTACEAE","Myrcianthes pungens","LC"
"MYRTACEAE","Myrciaria cuspidata","LC"
"MYRTACEAE","Myrciaria floribunda","LC"
"MYRTACEAE","Myrciaria plinioides","VU"
"MYRTACEAE","Myrciaria tenella","DD"
"MYRTACEAE","Neomitranthes amblymitra","VU"
"MYRTACEAE","Neomitranthes capivariensis","DD"
"MYRTACEAE","Neomitranthes cordifolia","VU"
"MYRTACEAE","Neomitranthes gemballae","LC"
"MYRTACEAE","Neomitranthes glomerata","LC"
"MYRTACEAE","Neomitranthes gracilis","EN"
"MYRTACEAE","Neomitranthes langsdorffii","EN"
"MYRTACEAE","Neomitranthes obscura","LC"
"MYRTACEAE","Neomitranthes obtusa","EN"
"MYRTACEAE","Neomitranthes pedicellata","EN"
"MYRTACEAE","Plinia callosa","EN"
"MYRTACEAE","Plinia complanata","EN"
"MYRTACEAE","Plinia cordifolia","NT"
"MYRTACEAE","Plinia edulis","VU"
"MYRTACEAE","Plinia hatschbachii","EN"
"MYRTACEAE","Plinia ilhensis","EN"
"MYRTACEAE","Plinia muricata","EN"
"MYRTACEAE","Plinia nana","VU"
"MYRTACEAE","Plinia rara","EN"
"MYRTACEAE","Plinia renatiana","EN"
"MYRTACEAE","Plinia stictophylla","EN"
"MYRTACEAE","Psidium firmum","LC"
"MYRTACEAE","Psidium giganteum","EN"
"MYRTACEAE","Psidium grandifolium","LC"
"MYRTACEAE","Psidium longipetiolatum","LC"
"MYRTACEAE","Psidium ovale","LC"
"MYRTACEAE","Psidium reptans","EN"
"MYRTACEAE","Psidium salutare","LC"
"MYRTACEAE","Psidium sartorianum","LC"
"MYRTACEAE","Siphoneugena densiflora","LC"
"MYRTACEAE","Siphoneugena kuhlmannii","VU"
"MYRTACEAE","Siphoneugena reitzii","LC"
"MYRTACEAE","Siphoneugena widgreniana","LC"
