"family_name","species","category"
"OCHNACEAE","Luxemburgia angustifolia","VU"
"OCHNACEAE","Luxemburgia ciliatibracteata","EN"
"OCHNACEAE","Luxemburgia corymbosa","VU"
"OCHNACEAE","Luxemburgia damazioana","VU"
"OCHNACEAE","Luxemburgia diciliata","EN"
"OCHNACEAE","Luxemburgia flexuosa","VU"
"OCHNACEAE","Luxemburgia hatschbachiana","EN"
"OCHNACEAE","Luxemburgia speciosa","EN"
"OCHNACEAE","Ouratea acicularis","EN"
"OCHNACEAE","Ouratea cuspidata","LC"
"OCHNACEAE","Ouratea hatschbachii","EN"
"OCHNACEAE","Ouratea spectabilis","LC"
"OCHNACEAE","Sauvagesia lanceolata","EN"
"OCHNACEAE","Sauvagesia nitida","VU"
"OCHNACEAE","Sauvagesia oliveirae","CR"
"OCHNACEAE","Sauvagesia ribeiroi","EN"
