"family_name","species","category"
"ORCHIDACEAE","Acianthera adiri","CR"
"ORCHIDACEAE","Acianthera aphthosa","LC"
"ORCHIDACEAE","Acianthera auriculata","LC"
"ORCHIDACEAE","Acianthera bragae","LC"
"ORCHIDACEAE","Acianthera crinita","LC"
"ORCHIDACEAE","Acianthera glumacea","LC"
"ORCHIDACEAE","Acianthera heringeri","CR"
"ORCHIDACEAE","Acianthera karlii","LC"
"ORCHIDACEAE","Acianthera langeana","EN"
"ORCHIDACEAE","Acianthera ophiantha","DD"
"ORCHIDACEAE","Acianthera papillosa","VU"
"ORCHIDACEAE","Acianthera pectinata","LC"
"ORCHIDACEAE","Acianthera pernambucensis","DD"
"ORCHIDACEAE","Acianthera saurocephala","LC"
"ORCHIDACEAE","Acianthera strupifolia","LC"
"ORCHIDACEAE","Acianthera teres","LC"
"ORCHIDACEAE","Acianthera translucida","LC"
"ORCHIDACEAE","Acianthera tricarinata","LC"
"ORCHIDACEAE","Adamantinia miltonioides","CR"
"ORCHIDACEAE","Alatiglossum barbatum","LC"
"ORCHIDACEAE","Alatiglossum croesus","CR"
"ORCHIDACEAE","Alatiglossum longipes","LC"
"ORCHIDACEAE","Anathallis adenochila","LC"
"ORCHIDACEAE","Anathallis bleyensis","DD"
"ORCHIDACEAE","Anathallis colnagoi","CR"
"ORCHIDACEAE","Anathallis crebrifolia","DD"
"ORCHIDACEAE","Anathallis gehrtii","VU"
"ORCHIDACEAE","Anathallis kautskyi","DD"
"ORCHIDACEAE","Anathallis montipelladensis","LC"
"ORCHIDACEAE","Anathallis pabstii","EN"
"ORCHIDACEAE","Anathallis radialis","NT"
"ORCHIDACEAE","Anathallis tigridens","VU"
"ORCHIDACEAE","Anneliesia candida","NT"
"ORCHIDACEAE","Anneliesia cuneata","NT"
"ORCHIDACEAE","Anneliesia kayasimae","CR"
"ORCHIDACEAE","Anneliesia russelliana","NT"
"ORCHIDACEAE","Aspasia lunata","LC"
"ORCHIDACEAE","Aspidogyne commelinoides","LC"
"ORCHIDACEAE","Aspidogyne kuczynskii","LC"
"ORCHIDACEAE","Baptistonia cornigera","LC"
"ORCHIDACEAE","Baptistonia cruciata","LC"
"ORCHIDACEAE","Baptistonia kautskyi","EN"
"ORCHIDACEAE","Baptistonia lietzei","LC"
"ORCHIDACEAE","Baptistonia pubes","LC"
"ORCHIDACEAE","Baptistonia sarcodes","NT"
"ORCHIDACEAE","Baptistonia truncata","CR"
"ORCHIDACEAE","Baptistonia venusta","LC"
"ORCHIDACEAE","Barbosella dusenii","NT"
"ORCHIDACEAE","Barbosella spiritusanctensis","DD"
"ORCHIDACEAE","Barbosella trilobata","EN"
"ORCHIDACEAE","Bifrenaria aureofulva","LC"
"ORCHIDACEAE","Bifrenaria calcarata","LC"
"ORCHIDACEAE","Bifrenaria harrisoniae","LC"
"ORCHIDACEAE","Bifrenaria inodora","LC"
"ORCHIDACEAE","Bifrenaria leucorrhoda","LC"
"ORCHIDACEAE","Bifrenaria racemosa","LC"
"ORCHIDACEAE","Bifrenaria silvana","CR"
"ORCHIDACEAE","Bifrenaria tetragona","LC"
"ORCHIDACEAE","Bifrenaria tyrianthina","LC"
"ORCHIDACEAE","Bifrenaria wittigii","EN"
"ORCHIDACEAE","Bipinnula biplumata","CR"
"ORCHIDACEAE","Bipinnula montana","DD"
"ORCHIDACEAE","Brachionidium restrepioides","VU"
"ORCHIDACEAE","Brachystele camporum","VU"
"ORCHIDACEAE","Brasilidium concolor","LC"
"ORCHIDACEAE","Brasilidium crispum","LC"
"ORCHIDACEAE","Brasilidium gardneri","LC"
"ORCHIDACEAE","Brasilidium gravesianum","LC"
"ORCHIDACEAE","Brasilidium marshallianum","CR"
"ORCHIDACEAE","Brasilidium pectorale","CR"
"ORCHIDACEAE","Brasilidium praetextum","LC"
"ORCHIDACEAE","Brasiliorchis consanguinea","NT"
"ORCHIDACEAE","Brasiliorchis phoenicanthera","LC"
"ORCHIDACEAE","Brasiliorchis schunkeana","EN"
"ORCHIDACEAE","Brassia arachnoidea","VU"
"ORCHIDACEAE","Bulbophyllum arianeae","CR"
"ORCHIDACEAE","Bulbophyllum boudetianum","EN"
