"family_name","species","category"
"OROBANCHACEAE","Agalinis angustifolia","NT"
"OROBANCHACEAE","Agalinis bandeirensis","CR"
"OROBANCHACEAE","Agalinis brachyphylla","VU"
"OROBANCHACEAE","Agalinis communis","LC"
"OROBANCHACEAE","Agalinis itambensis","EN"
"OROBANCHACEAE","Agalinis nana","EN"
"OROBANCHACEAE","Agalinis ramulifera","EN"
"OROBANCHACEAE","Agalinis schwackeana","CR"
"OROBANCHACEAE","Buchnera amethystina","LC"
"OROBANCHACEAE","Buchnera integrifolia","LC"
"OROBANCHACEAE","Buchnera juncea","LC"
"OROBANCHACEAE","Buchnera longifolia","LC"
"OROBANCHACEAE","Escobedia grandiflora","LC"
"OROBANCHACEAE","Esterhazya caesarea","VU"
"OROBANCHACEAE","Esterhazya nanuzae","EN"
"OROBANCHACEAE","Magdalenaea limae","CR"
"OROBANCHACEAE","Melasma rhinanthoides","LC"
"OROBANCHACEAE","Nothochilus coccineus","EN"
"OROBANCHACEAE","Physocalyx aurantiacus","NT"
"OROBANCHACEAE","Physocalyx major","LC"
"OROBANCHACEAE","Physocalyx scaberrimus","EN"
