"family_name","species","category"
"OXALIDACEAE","Oxalis arachnoidea","CR"
"OXALIDACEAE","Oxalis areolata","DD"
"OXALIDACEAE","Oxalis bela-vitoriae","CR"
"OXALIDACEAE","Oxalis blackii","CR"
"OXALIDACEAE","Oxalis clausenii","CR"
"OXALIDACEAE","Oxalis cratensis","LC"
"OXALIDACEAE","Oxalis cytisoides","LC"
"OXALIDACEAE","Oxalis diamantinae","CR"
"OXALIDACEAE","Oxalis doceana","CR"
"OXALIDACEAE","Oxalis hedysarifolia","LC"
"OXALIDACEAE","Oxalis hyalotricha","EN"
"OXALIDACEAE","Oxalis impatiens","EN"
"OXALIDACEAE","Oxalis kuhlmannii","CR"
"OXALIDACEAE","Oxalis mandioccana","VU"
"OXALIDACEAE","Oxalis neuwiedii","LC"
"OXALIDACEAE","Oxalis niederleinii","LC"
"OXALIDACEAE","Oxalis paranaensis","CR"
"OXALIDACEAE","Oxalis praetexta","EN"
"OXALIDACEAE","Oxalis pretoensis","DD"
"OXALIDACEAE","Oxalis rhombeo-ovata","LC"
"OXALIDACEAE","Oxalis sellowii","NT"
"OXALIDACEAE","Oxalis umbraticola","LC"
"OXALIDACEAE","Oxalis veadeirosensis","DD"
