"family_name","species","category"
"PASSIFLORACEAE","Passiflora actinia","LC"
"PASSIFLORACEAE","Passiflora amethystina","LC"
"PASSIFLORACEAE","Passiflora campanulata","LC"
"PASSIFLORACEAE","Passiflora edulis","LC"
"PASSIFLORACEAE","Passiflora eichleriana","LC"
"PASSIFLORACEAE","Passiflora elegans","NT"
"PASSIFLORACEAE","Passiflora hatschbachii","EN"
"PASSIFLORACEAE","Passiflora hypoglauca","EN"
"PASSIFLORACEAE","Passiflora imbeana","EN"
"PASSIFLORACEAE","Passiflora ischnoclada","CR"
"PASSIFLORACEAE","Passiflora malacophylla","LC"
"PASSIFLORACEAE","Passiflora margaritae","EN"
"PASSIFLORACEAE","Passiflora miersii","LC"
"PASSIFLORACEAE","Passiflora mucugeana","EN"
"PASSIFLORACEAE","Passiflora organensis","LC"
"PASSIFLORACEAE","Passiflora racemosa","LC"
"PASSIFLORACEAE","Passiflora saccoi","DD"
"PASSIFLORACEAE","Passiflora setulosa","EN"
"PASSIFLORACEAE","Passiflora tricuspis","LC"
"PASSIFLORACEAE","Passiflora urubiciensis","EN"
