"family_name","species","category"
"PIPERACEAE","Ottonia sampaioi","DD"
"PIPERACEAE","Peperomia adsurgens","DD"
"PIPERACEAE","Peperomia apiahyensis","DD"
"PIPERACEAE","Peperomia clivicola","LC"
"PIPERACEAE","Peperomia cooperi","DD"
"PIPERACEAE","Peperomia cordigera","VU"
"PIPERACEAE","Peperomia diaphanoides","LC"
"PIPERACEAE","Peperomia distachya","DD"
"PIPERACEAE","Peperomia emarginella","LC"
"PIPERACEAE","Peperomia gardneriana","LC"
"PIPERACEAE","Peperomia gracilis","EN"
"PIPERACEAE","Peperomia guarujana","CR"
"PIPERACEAE","Peperomia hemmendorffii","EN"
"PIPERACEAE","Peperomia hernandiaefolia","LC"
"PIPERACEAE","Peperomia hydrocotyloides","NT"
"PIPERACEAE","Peperomia itatiaiana","EN"
"PIPERACEAE","Peperomia loefgrenii","EN"
"PIPERACEAE","Peperomia loxensis","LC"
"PIPERACEAE","Peperomia lyman-smithii","LC"
"PIPERACEAE","Peperomia mandioccana","LC"
"PIPERACEAE","Peperomia mosenii","NT"
"PIPERACEAE","Peperomia nitida","LC"
"PIPERACEAE","Peperomia oreophila","LC"
"PIPERACEAE","Peperomia pellucida","LC"
"PIPERACEAE","Peperomia pseudoestrellensis","LC"
"PIPERACEAE","Peperomia psilostachya","LC"
"PIPERACEAE","Peperomia quadrifolia","LC"
"PIPERACEAE","Peperomia regelii","DD"
"PIPERACEAE","Peperomia riparia","DD"
"PIPERACEAE","Peperomia rizzinii","LC"
"PIPERACEAE","Peperomia rostulatiformis","EN"
"PIPERACEAE","Peperomia rufispica","CR"
"PIPERACEAE","Peperomia schwackei","LC"
"PIPERACEAE","Peperomia serpens","LC"
"PIPERACEAE","Peperomia suboppositifolia","EN"
"PIPERACEAE","Peperomia subrubrispica","LC"
"PIPERACEAE","Peperomia trinervis","LC"
"PIPERACEAE","Peperomia turbinata","LC"
"PIPERACEAE","Peperomia velloziana","LC"
"PIPERACEAE","Peperomia warmingii","NT"
"PIPERACEAE","Piper abbadianum","DD"
"PIPERACEAE","Piper abutiloides","LC"
"PIPERACEAE","Piper alnoides","LC"
"PIPERACEAE","Piper amparoense","EN"
"PIPERACEAE","Piper anostachyum","EN"
"PIPERACEAE","Piper barretoi","EN"
"PIPERACEAE","Piper bennettianum","VU"
"PIPERACEAE","Piper carautensei","EN"
"PIPERACEAE","Piper casteloense","EN"
"PIPERACEAE","Piper corintoanum","LC"
"PIPERACEAE","Piper crassistilum","DD"
"PIPERACEAE","Piper duartei","VU"
"PIPERACEAE","Piper edwallii","EN"
"PIPERACEAE","Piper flavicans","NT"
"PIPERACEAE","Piper fuligineum","LC"
"PIPERACEAE","Piper hatschbachii","CR"
"PIPERACEAE","Piper hayneanum","LC"
"PIPERACEAE","Piper hoehnei","EN"
"PIPERACEAE","Piper juliflorum","EN"
"PIPERACEAE","Piper kuhlmannii","VU"
"PIPERACEAE","Piper laevicarpum","EN"
"PIPERACEAE","Piper lanceolatum","NT"
"PIPERACEAE","Piper loefgrenii","VU"
"PIPERACEAE","Piper macedoi","LC"
"PIPERACEAE","Piper oblancifolium","EN"
"PIPERACEAE","Piper obliquum","LC"
"PIPERACEAE","Piper piritubanum","EN"
"PIPERACEAE","Piper pubisubmarginalum","LC"
"PIPERACEAE","Piper rioense","EN"
"PIPERACEAE","Piper sampaioi","CR"
"PIPERACEAE","Piper scabrellum","EN"
"PIPERACEAE","Piper scutifolium","NT"
"PIPERACEAE","Piper sprengelianum","NT"
"PIPERACEAE","Piper subcinereum","LC"
"PIPERACEAE","Piper subrugosum","DD"
"PIPERACEAE","Piper tectoniifolium","LC"
"PIPERACEAE","Piper truncatum","LC"
"PIPERACEAE","Piper vaginans","DD"
"PIPERACEAE","Piper velutinibaccum","DD"
"PIPERACEAE","Piper vicosanum","LC"
"PIPERACEAE","Piper viminifolium","LC"
"PIPERACEAE","Piper xylosteoides","LC"
