"family_name","species","category"
"POLYGALACEAE","Acanthocladus brasiliensis","LC"
"POLYGALACEAE","Acanthocladus pulcherrimus","NT"
"POLYGALACEAE","Acanthocladus santosii","NT"
"POLYGALACEAE","Asemeia marquesiana","EN"
"POLYGALACEAE","Asemeia pohliana","CR"
"POLYGALACEAE","Polygala apparicioi","EN"
"POLYGALACEAE","Polygala asperuloides","LC"
"POLYGALACEAE","Polygala bevilacquai","CR"
"POLYGALACEAE","Polygala brasiliensis","LC"
"POLYGALACEAE","Polygala fendleri","LC"
"POLYGALACEAE","Polygala franchetii","EN"
"POLYGALACEAE","Polygala galioides","LC"
"POLYGALACEAE","Polygala grazielae","CR"
"POLYGALACEAE","Polygala irwinii","NT"
"POLYGALACEAE","Polygala juncea","EN"
"POLYGALACEAE","Polygala malmeana","EN"
"POLYGALACEAE","Polygala molluginifolia","LC"
"POLYGALACEAE","Polygala moquiniana","NT"
"POLYGALACEAE","Polygala nudicaulis","LC"
"POLYGALACEAE","Polygala patens","EN"
"POLYGALACEAE","Polygala pseudocoriacea","CR"
"POLYGALACEAE","Polygala pseudoerica","EN"
"POLYGALACEAE","Polygala pulchella","LC"
"POLYGALACEAE","Polygala pumila","NT"
"POLYGALACEAE","Polygala sabulosa","NT"
"POLYGALACEAE","Polygala selaginoides","EN"
"POLYGALACEAE","Polygala stephaniana","EN"
"POLYGALACEAE","Polygala suganumae","CR"
"POLYGALACEAE","Polygala tamariscea","VU"
"POLYGALACEAE","Polygala trifurcata","EN"
"POLYGALACEAE","Polygala vollii","EN"
"POLYGALACEAE","Securidaca acuminata","DD"
