"family_name","species","category"
"PTERIDACEAE","Adiantum diphyllum","CR"
"PTERIDACEAE","Adiantum discolor","EN"
"PTERIDACEAE","Adiantum mynsseniae","EN"
"PTERIDACEAE","Adiantum papillosum","EN"
"PTERIDACEAE","Adiantum tetragonum","EN"
"PTERIDACEAE","Anetium citrifolium","LC"
"PTERIDACEAE","Cheilanthes goyazensis","NT"
"PTERIDACEAE","Cheilanthes incisa","EN"
"PTERIDACEAE","Cheilanthes juergensii","EN"
"PTERIDACEAE","Cheilanthes regnelliana","EN"
"PTERIDACEAE","Doryopteris crenulans","DD"
"PTERIDACEAE","Doryopteris itatiaiensis","EN"
"PTERIDACEAE","Doryopteris lomariacea","LC"
"PTERIDACEAE","Doryopteris paradoxa","VU"
"PTERIDACEAE","Doryopteris quinquelobata","CR"
"PTERIDACEAE","Doryopteris rediviva","VU"
"PTERIDACEAE","Doryopteris rosenstockii","EN"
"PTERIDACEAE","Doryopteris rufa","EN"
"PTERIDACEAE","Doryopteris subsimplex","EN"
"PTERIDACEAE","Doryopteris tijucana","EN"
"PTERIDACEAE","Doryopteris trilobata","EN"
"PTERIDACEAE","Eriosorus biardii","EN"
"PTERIDACEAE","Eriosorus cheilanthoides","EN"
"PTERIDACEAE","Eriosorus insignis","EN"
"PTERIDACEAE","Eriosorus rufescens","CR"
"PTERIDACEAE","Jamesonia brasiliensis","EN"
"PTERIDACEAE","Pellaea cymbiformis","EN"
"PTERIDACEAE","Pellaea gleichenioides","EN"
"PTERIDACEAE","Polytaenium feei","DD"
"PTERIDACEAE","Pteris congesta","EN"
"PTERIDACEAE","Pteris limae","CR"
