"family_name","species","category"
"SAPINDACEAE","Allophylus puberulus","LC"
"SAPINDACEAE","Allophylus semidentatus","LC"
"SAPINDACEAE","Cardiospermum corindum","LC"
"SAPINDACEAE","Cupania concolor","VU"
"SAPINDACEAE","Cupania furfuracea","VU"
"SAPINDACEAE","Dilodendron bipinnatum","LC"
"SAPINDACEAE","Magonia pubescens","LC"
"SAPINDACEAE","Melicoccus espiritosantensis","EN"
"SAPINDACEAE","Paullinia racemosa","LC"
"SAPINDACEAE","Paullinia riodocensis","VU"
"SAPINDACEAE","Paullinia uloptera","LC"
"SAPINDACEAE","Serjania cuspidata","LC"
"SAPINDACEAE","Serjania deflexa","LC"
"SAPINDACEAE","Serjania divaricocca","CR"
"SAPINDACEAE","Serjania hatschbachii","CR"
"SAPINDACEAE","Serjania platycarpa","LC"
"SAPINDACEAE","Talisia angustifolia","LC"
"SAPINDACEAE","Talisia subalbens","VU"
"SAPINDACEAE","Urvillea glabra","VU"
