"family_name","species","category"
"SAPOTACEAE","Chromolucuma rubriflora","LC"
"SAPOTACEAE","Chrysophyllum acreanum","DD"
"SAPOTACEAE","Chrysophyllum arenarium","LC"
"SAPOTACEAE","Chrysophyllum bombycinum","DD"
"SAPOTACEAE","Chrysophyllum durifructum","DD"
"SAPOTACEAE","Chrysophyllum flexuosum","LC"
"SAPOTACEAE","Chrysophyllum imperiale","EN"
"SAPOTACEAE","Chrysophyllum inornatum","LC"
"SAPOTACEAE","Chrysophyllum januariense","VU"
"SAPOTACEAE","Chrysophyllum ovale","DD"
"SAPOTACEAE","Chrysophyllum paranaense","DD"
"SAPOTACEAE","Chrysophyllum splendens","NT"
"SAPOTACEAE","Chrysophyllum subspinosum","DD"
"SAPOTACEAE","Chrysophyllum superbum","DD"
"SAPOTACEAE","Chrysophyllum viride","NT"
"SAPOTACEAE","Ecclinusa bullata","DD"
"SAPOTACEAE","Ecclinusa lancifolia","DD"
"SAPOTACEAE","Manilkara bella","EN"
"SAPOTACEAE","Manilkara cavalcantei","DD"
"SAPOTACEAE","Manilkara dardanoi","VU"
"SAPOTACEAE","Manilkara decrescens","VU"
"SAPOTACEAE","Manilkara elata","DD"
"SAPOTACEAE","Manilkara excelsa","DD"
"SAPOTACEAE","Manilkara huberi","LC"
"SAPOTACEAE","Manilkara longifolia","NT"
"SAPOTACEAE","Manilkara maxima","EN"
"SAPOTACEAE","Manilkara multifida","VU"
"SAPOTACEAE","Manilkara paraensis","NT"
"SAPOTACEAE","Manilkara rufula","LC"
"SAPOTACEAE","Manilkara subsericea","LC"
"SAPOTACEAE","Micropholis casiquiarensis","LC"
"SAPOTACEAE","Micropholis caudata","DD"
"SAPOTACEAE","Micropholis cayennensis","LC"
"SAPOTACEAE","Micropholis compta","NT"
"SAPOTACEAE","Micropholis crassipedicellata","LC"
"SAPOTACEAE","Micropholis cylindrocarpa","LC"
"SAPOTACEAE","Micropholis emarginata","EN"
"SAPOTACEAE","Micropholis gnaphaloclados","NT"
"SAPOTACEAE","Micropholis grandiflora","DD"
"SAPOTACEAE","Micropholis humboldtiana","LC"
"SAPOTACEAE","Micropholis madeirensis","LC"
"SAPOTACEAE","Micropholis maguirei","LC"
"SAPOTACEAE","Micropholis resinifera","LC"
"SAPOTACEAE","Micropholis retusa","DD"
"SAPOTACEAE","Micropholis sanctae-rosae","LC"
"SAPOTACEAE","Micropholis splendens","EN"
"SAPOTACEAE","Micropholis submarginalis","LC"
"SAPOTACEAE","Micropholis williamii","LC"
"SAPOTACEAE","Pouteria amapaensis","LC"
"SAPOTACEAE","Pouteria andarahiensis","NT"
"SAPOTACEAE","Pouteria atabapoensis","LC"
"SAPOTACEAE","Pouteria bapeba","CR"
"SAPOTACEAE","Pouteria beaurepairei","LC"
"SAPOTACEAE","Pouteria brevensis","DD"
"SAPOTACEAE","Pouteria bullata","EN"
"SAPOTACEAE","Pouteria butyrocarpa","CR"
"SAPOTACEAE","Pouteria cicatricata","NT"
"SAPOTACEAE","Pouteria coelomatica","VU"
"SAPOTACEAE","Pouteria crassiflora","DD"
"SAPOTACEAE","Pouteria decussata","EN"
"SAPOTACEAE","Pouteria exstaminodia","DD"
"SAPOTACEAE","Pouteria franciscana","NT"
"SAPOTACEAE","Pouteria fulva","DD"
"SAPOTACEAE","Pouteria furcata","EN"
"SAPOTACEAE","Pouteria gabrielensis","LC"
"SAPOTACEAE","Pouteria glomerata","LC"
"SAPOTACEAE","Pouteria grandiflora","LC"
"SAPOTACEAE","Pouteria juruana","LC"
"SAPOTACEAE","Pouteria krukovii","LC"
"SAPOTACEAE","Pouteria latianthera","DD"
"SAPOTACEAE","Pouteria lucens","DD"
"SAPOTACEAE","Pouteria macahensis","EN"
"SAPOTACEAE","Pouteria macrocarpa","VU"
"SAPOTACEAE","Pouteria maguirei","DD"
"SAPOTACEAE","Pouteria microstrigosa","DD"
"SAPOTACEAE","Pouteria minima","NT"
"SAPOTACEAE","Pouteria nudipetala","DD"
"SAPOTACEAE","Pouteria oppositifolia","NT"
"SAPOTACEAE","Pouteria oxypetala","EN"
"SAPOTACEAE","Pouteria pachycalyx","VU"
"SAPOTACEAE","Pouteria pachyphylla","DD"
"SAPOTACEAE","Pouteria pallens","DD"
"SAPOTACEAE","Pouteria peduncularis","VU"
"SAPOTACEAE","Pouteria petiolata","VU"
"SAPOTACEAE","Pouteria platyphylla","NT"
"SAPOTACEAE","Pouteria polysepala","DD"
"SAPOTACEAE","Pouteria pubescens","DD"
"SAPOTACEAE","Pouteria putamen-ovi","DD"
"SAPOTACEAE","Pouteria reticulata","LC"
"SAPOTACEAE","Pouteria retinervis","NT"
"SAPOTACEAE","Pouteria rodriguesiana","DD"
"SAPOTACEAE","Pouteria sagotiana","LC"
"SAPOTACEAE","Pouteria salicifolia","LC"
"SAPOTACEAE","Pouteria scrobiculata","DD"
"SAPOTACEAE","Pouteria stenophylla","DD"
"SAPOTACEAE","Pouteria subcaerulea","LC"
"SAPOTACEAE","Pouteria subsessilifolia","NT"
"SAPOTACEAE","Pouteria tarumanensis","DD"
"SAPOTACEAE","Pouteria tenuisepala","DD"
