"family_name","species","category"
"SOLANACEAE","Aureliana fasciculata","LC"
"SOLANACEAE","Bouchetia anomala","NT"
"SOLANACEAE","Brunfelsia rupestris","VU"
"SOLANACEAE","Calibrachoa eglandulata","EN"
"SOLANACEAE","Calibrachoa elegans","EN"
"SOLANACEAE","Calibrachoa humilis","EN"
"SOLANACEAE","Calibrachoa serrulata","DD"
"SOLANACEAE","Calibrachoa spathulata","VU"
"SOLANACEAE","Cestrum tubulosum","LC"
"SOLANACEAE","Dyssochroma longipes","LC"
"SOLANACEAE","Dyssochroma viridiflora","LC"
"SOLANACEAE","Lycianthes rantonnei","LC"
"SOLANACEAE","Lycianthes repens","EN"
"SOLANACEAE","Lycium glomeratum","DD"
"SOLANACEAE","Nicotiana mutabilis","VU"
"SOLANACEAE","Nierembergia pinifolia","CR"
"SOLANACEAE","Petunia bonjardinensis","EN"
"SOLANACEAE","Petunia exserta","EN"
"SOLANACEAE","Petunia mantiqueirensis","EN"
"SOLANACEAE","Petunia reitzii","CR"
"SOLANACEAE","Petunia saxicola","CR"
"SOLANACEAE","Schwenckia curviflora","EN"
"SOLANACEAE","Schwenckia lateriflora","DD"
"SOLANACEAE","Schwenckia nova-veneciana","CR"
"SOLANACEAE","Sessea brasiliensis","NT"
"SOLANACEAE","Sessea regnellii","LC"
"SOLANACEAE","Solanum affine","LC"
"SOLANACEAE","Solanum arenarium","EN"
"SOLANACEAE","Solanum bahianum","EN"
"SOLANACEAE","Solanum bullatum","LC"
"SOLANACEAE","Solanum cinnamomeum","LC"
"SOLANACEAE","Solanum diamantinense","NT"
"SOLANACEAE","Solanum diploconos","LC"
"SOLANACEAE","Solanum eitenii","CR"
"SOLANACEAE","Solanum gertii","NT"
"SOLANACEAE","Solanum granulosoleprosum","LC"
"SOLANACEAE","Solanum graveolens","EN"
"SOLANACEAE","Solanum hasslerianum","LC"
"SOLANACEAE","Solanum jabrense","EN"
"SOLANACEAE","Solanum latiflorum","LC"
"SOLANACEAE","Solanum leucodendron","LC"
"SOLANACEAE","Solanum melissarum","LC"
"SOLANACEAE","Solanum ovum-fringillae","DD"
"SOLANACEAE","Solanum paralum","EN"
"SOLANACEAE","Solanum pinetorum","NT"
"SOLANACEAE","Solanum pseudoquina","LC"
"SOLANACEAE","Solanum reitzii","NT"
"SOLANACEAE","Solanum restingae","EN"
"SOLANACEAE","Solanum santosii","VU"
"SOLANACEAE","Solanum sooretamum","LC"
"SOLANACEAE","Solanum spissifolium","CR"
"SOLANACEAE","Solanum sycocarpum","NT"
"SOLANACEAE","Solanum viscosissimum","EN"
"SOLANACEAE","Solanum warmingii","EN"
