"family_name","species","category"
"SYMPLOCACEAE","Symplocos altissima","DD"
"SYMPLOCACEAE","Symplocos corymboclados","EN"
"SYMPLOCACEAE","Symplocos falcata","LC"
"SYMPLOCACEAE","Symplocos glaberrima","EN"
"SYMPLOCACEAE","Symplocos insolita","EN"
"SYMPLOCACEAE","Symplocos itatiaiae","EN"
"SYMPLOCACEAE","Symplocos neglecta","CR"
"SYMPLOCACEAE","Symplocos organensis","EN"
"SYMPLOCACEAE","Symplocos rhamnifolia","EN"
"SYMPLOCACEAE","Symplocos saxatilis","CR"
"SYMPLOCACEAE","Symplocos tenuifolia","LC"
