"family_name","species","category"
"THELYPTERIDACEAE","Thelypteris angustifolia","LC"
"THELYPTERIDACEAE","Thelypteris araucariensis","LC"
"THELYPTERIDACEAE","Thelypteris concinna","LC"
"THELYPTERIDACEAE","Thelypteris cutiataensis","EN"
"THELYPTERIDACEAE","Thelypteris hatschbachii","LC"
"THELYPTERIDACEAE","Thelypteris leprieurii","LC"
"THELYPTERIDACEAE","Thelypteris littoralis","EN"
"THELYPTERIDACEAE","Thelypteris macrophylla","LC"
"THELYPTERIDACEAE","Thelypteris montana","VU"
"THELYPTERIDACEAE","Thelypteris multigemmifera","CR"
"THELYPTERIDACEAE","Thelypteris novaeana","CR"
