"family_name","species","category"
"TURNERACEAE","Piriqueta araguaiana","DD"
"TURNERACEAE","Piriqueta caiapoensis","EN"
"TURNERACEAE","Piriqueta cristobaliae","DD"
"TURNERACEAE","Piriqueta emasensis","DD"
"TURNERACEAE","Piriqueta lourteigiae","DD"
"TURNERACEAE","Piriqueta suborbicularis","NT"
"TURNERACEAE","Turnera asymmetrica","DD"
"TURNERACEAE","Turnera capitata","LC"
"TURNERACEAE","Turnera cipoensis","VU"
"TURNERACEAE","Turnera coccinea","EN"
"TURNERACEAE","Turnera collotricha","CR"
"TURNERACEAE","Turnera coriacea","EN"
"TURNERACEAE","Turnera elliptica","DD"
"TURNERACEAE","Turnera foliosa","EN"
"TURNERACEAE","Turnera gardneriana","DD"
"TURNERACEAE","Turnera hilaireana","LC"
"TURNERACEAE","Turnera ignota","CR"
"TURNERACEAE","Turnera luetzelburgii","VU"
"TURNERACEAE","Turnera pinifolia","EN"
"TURNERACEAE","Turnera princeps","DD"
"TURNERACEAE","Turnera reginae","DD"
"TURNERACEAE","Turnera revoluta","EN"
"TURNERACEAE","Turnera riedeliana","CR"
