"family_name","species","category"
"VELLOZIACEAE","Barbacenia andersonii","EN"
"VELLOZIACEAE","Barbacenia blackii","VU"
"VELLOZIACEAE","Barbacenia contasana","EN"
"VELLOZIACEAE","Barbacenia cylindrica","CR"
"VELLOZIACEAE","Barbacenia delicatula","EN"
"VELLOZIACEAE","Barbacenia ensifolia","DD"
"VELLOZIACEAE","Barbacenia exscapa","CR"
"VELLOZIACEAE","Barbacenia fulva","EN"
"VELLOZIACEAE","Barbacenia glabra","EN"
"VELLOZIACEAE","Barbacenia glutinosa","CR"
"VELLOZIACEAE","Barbacenia gounelleana","EN"
"VELLOZIACEAE","Barbacenia hatschbachii","EN"
"VELLOZIACEAE","Barbacenia hirtiflora","DD"
"VELLOZIACEAE","Barbacenia longiscapa","CR"
"VELLOZIACEAE","Barbacenia lymansmithii","CR"
"VELLOZIACEAE","Barbacenia minima","DD"
"VELLOZIACEAE","Barbacenia paranaensis","EN"
"VELLOZIACEAE","Barbacenia pungens","CR"
"VELLOZIACEAE","Barbacenia reflexa","CR"
"VELLOZIACEAE","Barbacenia regis","EN"
"VELLOZIACEAE","Barbacenia riparia","CR"
"VELLOZIACEAE","Barbacenia rodriguesii","EN"
"VELLOZIACEAE","Barbacenia spectabilis","EN"
"VELLOZIACEAE","Barbacenia spiralis","EN"
"VELLOZIACEAE","Barbacenia umbrosa","EN"
"VELLOZIACEAE","Barbacenia williamsii","EN"
"VELLOZIACEAE","Vellozia alata","EN"
"VELLOZIACEAE","Vellozia albiflora","NT"
"VELLOZIACEAE","Vellozia armata","EN"
"VELLOZIACEAE","Vellozia asperula","DD"
"VELLOZIACEAE","Vellozia barbata","EN"
"VELLOZIACEAE","Vellozia bradei","CR"
"VELLOZIACEAE","Vellozia canelinha","CR"
"VELLOZIACEAE","Vellozia costata","DD"
"VELLOZIACEAE","Vellozia crinita","EN"
"VELLOZIACEAE","Vellozia exilis","EN"
"VELLOZIACEAE","Vellozia gigantea","EN"
"VELLOZIACEAE","Vellozia glabra","EN"
"VELLOZIACEAE","Vellozia graomogolensis","DD"
"VELLOZIACEAE","Vellozia hatschbachii","EN"
"VELLOZIACEAE","Vellozia leptopetala","EN"
"VELLOZIACEAE","Vellozia lilacina","EN"
"VELLOZIACEAE","Vellozia luteola","EN"
"VELLOZIACEAE","Vellozia maxillarioides","EN"
"VELLOZIACEAE","Vellozia metzgerae","EN"
"VELLOZIACEAE","Vellozia nuda","EN"
"VELLOZIACEAE","Vellozia patens","EN"
"VELLOZIACEAE","Vellozia piresiana","EN"
"VELLOZIACEAE","Vellozia prolifera","CR"
"VELLOZIACEAE","Vellozia pulchra","EN"
"VELLOZIACEAE","Vellozia sellowii","EN"
"VELLOZIACEAE","Vellozia sessilis","EN"
"VELLOZIACEAE","Vellozia spiralis","EN"
"VELLOZIACEAE","Vellozia streptophylla","EN"
"VELLOZIACEAE","Vellozia subalata","EN"
"VELLOZIACEAE","Vellozia tillandsioides","CR"
"VELLOZIACEAE","Vellozia torquata","DD"
"VELLOZIACEAE","Vellozia variabilis","LC"
