"family_name","species","category"
"VERBENACEAE","Aloysia hatschbachii","EN"
"VERBENACEAE","Aloysia polygalifolia","LC"
"VERBENACEAE","Bouchea chascanoides","DD"
"VERBENACEAE","Bouchea fluminensis","LC"
"VERBENACEAE","Citharexylum obtusifolium","EN"
"VERBENACEAE","Lantana gracilis","LC"
"VERBENACEAE","Lippia alnifolia","VU"
"VERBENACEAE","Lippia bellatula","LC"
"VERBENACEAE","Lippia bradei","VU"
"VERBENACEAE","Lippia bromleyana","EN"
"VERBENACEAE","Lippia campestris","EN"
"VERBENACEAE","Lippia ciliata","DD"
"VERBENACEAE","Lippia diamantinensis","LC"
"VERBENACEAE","Lippia duartei","CR"
"VERBENACEAE","Lippia elliptica","VU"
"VERBENACEAE","Lippia gardneriana","VU"
"VERBENACEAE","Lippia grandiflora","VU"
"VERBENACEAE","Lippia insignis","VU"
"VERBENACEAE","Lippia macedoi","EN"
"VERBENACEAE","Lippia morii","EN"
"VERBENACEAE","Lippia nana","EN"
"VERBENACEAE","Lippia pusilla","LC"
"VERBENACEAE","Lippia ramboi","DD"
"VERBENACEAE","Lippia rhodocnemis","EN"
"VERBENACEAE","Lippia rubella","EN"
"VERBENACEAE","Stachytarpheta ajugifolia","EN"
"VERBENACEAE","Stachytarpheta almasensis","EN"
"VERBENACEAE","Stachytarpheta bicolor","LC"
"VERBENACEAE","Stachytarpheta discolor","EN"
"VERBENACEAE","Stachytarpheta froesii","EN"
"VERBENACEAE","Stachytarpheta galactea","DD"
"VERBENACEAE","Stachytarpheta integrifolia","EN"
"VERBENACEAE","Stachytarpheta itambensis","EN"
"VERBENACEAE","Stachytarpheta lacunosa","VU"
"VERBENACEAE","Stachytarpheta lychnitis","VU"
"VERBENACEAE","Stachytarpheta monachinoi","EN"
"VERBENACEAE","Stachytarpheta pohliana","DD"
"VERBENACEAE","Stachytarpheta procumbens","EN"
"VERBENACEAE","Stachytarpheta radlkoferiana","VU"
"VERBENACEAE","Verbena caniuensis","NT"
"VERBENACEAE","Verbena hirta","LC"
"VERBENACEAE","Verbenoxylum reitzii","EN"
